date,open,high,low,close,volume
2024-12-03,21.05,21.05,20.85,20.89,6131057
2024-12-04,20.85,20.93,20.76,20.93,4619546
2024-12-05,20.89,21.47,20.85,21.47,8272544
2024-12-06,21.31,21.51,21.31,21.43,6054365
2024-12-09,21.39,21.43,21.18,21.31,5418974
2024-12-10,21.31,21.31,21.18,21.18,3403008
2024-12-11,21.18,21.31,21.05,21.22,8832805
2024-12-12,21.22,21.31,21.1,21.14,5867353
2024-12-13,21.14,21.14,20.97,21.01,6044475
2024-12-16,21.01,21.1,20.93,21.01,5165719
2024-12-17,21.1,21.1,20.93,21.05,3331723
2024-12-18,21.1,21.1,20.97,21.01,3385137
2024-12-19,20.93,20.93,20.64,20.72,9720556
2024-12-20,20.76,20.8,20.68,20.72,4729595
2024-12-23,20.76,20.85,20.72,20.8,3469073
2024-12-24,20.8,20.89,20.72,20.89,3233697
2024-12-25,20.89,21.39,20.85,21.26,9518178
2024-12-26,21.26,21.35,21.22,21.35,5583577
2024-12-27,21.39,21.47,21.31,21.35,7694895
2024-12-30,21.18,21.43,21.18,21.22,5004572
2024-12-31,21.22,21.56,21.18,21.56,8844727
2025-01-02,21.39,21.47,21.22,21.39,4571487
2025-01-03,21.31,21.35,20.97,20.97,5022490
2025-01-06,20.89,20.93,20.68,20.72,12058848
2025-01-07,20.72,20.93,20.72,20.89,5028704
2025-01-08,20.89,20.89,20.72,20.89,4091798
2025-01-09,20.85,20.89,20.76,20.85,3842684
2025-01-10,20.8,20.85,20.64,20.64,4714444
2025-01-13,20.47,20.76,20.47,20.68,4628922
2025-01-14,20.68,20.72,20.47,20.6,5066348
2025-01-15,20.76,20.85,20.6,20.8,7428403
2025-01-16,20.76,20.93,20.64,20.76,5009160
2025-01-17,20.76,20.89,20.72,20.85,2381475
2025-01-20,20.85,20.93,20.72,20.89,4008919
2025-01-21,20.93,20.97,20.76,20.85,4346037
2025-01-22,20.89,20.89,20.72,20.76,2791121
2025-01-23,20.8,21.22,20.8,21.14,8900937
2025-01-24,21.05,21.31,21.05,21.18,4902907
2025-02-03,20.93,21.14,20.8,20.97,4775193
2025-02-04,21.1,21.18,20.93,21.1,4908445
2025-02-05,21.1,21.22,21.05,21.22,7496156
2025-02-06,21.31,21.43,21.22,21.31,5599437
2025-02-07,21.31,21.56,21.22,21.47,9881521
2025-02-10,21.43,21.85,21.31,21.56,14041424
