date,open,high,low,close,volume
2024-12-03,38.0,38.0,37.64,37.64,1401191
2024-12-04,37.68,37.72,36.9,36.9,2401095
2024-12-05,37.02,38.25,37.02,37.6,2429151
2024-12-06,37.92,38.37,37.92,38.09,2499768
2024-12-09,38.13,38.41,38.09,38.17,1719564
2024-12-10,38.25,38.7,38.21,38.21,1945190
2024-12-11,38.37,38.41,38.0,38.09,1287841
2024-12-12,38.17,38.54,38.09,38.09,1936826
2024-12-13,38.05,38.25,37.92,37.92,1383716
2024-12-16,38.41,38.62,38.17,38.21,3249666
2024-12-17,38.41,38.54,38.09,38.09,2250022
2024-12-18,38.29,38.41,38.17,38.29,1662684
2024-12-19,38.13,38.21,37.92,37.96,2707866
2024-12-20,38.0,38.17,37.88,37.96,2994624
2024-12-23,38.47,38.57,38.08,38.18,2899478
2024-12-24,38.27,38.42,37.63,37.68,3219399
2024-12-25,37.78,39.36,37.68,38.22,5281584
2024-12-26,38.52,38.92,38.37,38.57,3886725
2024-12-27,38.82,39.07,38.67,38.72,2862726
2024-12-30,38.67,38.72,37.83,37.83,4013327
2024-12-31,38.08,38.32,37.14,37.14,3418064
2025-01-02,37.78,38.22,37.48,37.78,3162931
2025-01-03,37.78,38.18,37.78,37.78,3701524
2025-01-06,37.88,38.72,37.78,38.37,4823056
2025-01-07,38.67,40.05,38.62,39.96,10454584
2025-01-08,39.96,39.96,39.21,39.91,3127337
2025-01-09,39.46,39.61,38.92,39.51,3602237
2025-01-10,39.46,39.46,38.67,38.67,3116356
2025-01-13,38.67,38.92,37.98,38.87,2463023
2025-01-14,38.77,38.77,38.47,38.57,958254
2025-01-15,38.77,38.77,38.18,38.77,1487145
2025-01-16,38.77,39.07,38.62,38.97,1629701
2025-01-17,38.77,39.07,38.62,39.07,1573809
2025-01-20,39.02,39.66,38.97,39.46,2855896
2025-01-21,39.61,39.61,39.07,39.36,2140926
2025-01-22,39.36,39.36,39.02,39.07,2022332
2025-01-23,39.07,39.66,39.02,39.46,2928246
2025-01-24,39.46,39.56,39.31,39.56,2347829
2025-02-03,39.26,39.46,38.67,38.97,3557883
2025-02-04,39.07,39.66,38.72,39.21,4284757
2025-02-05,39.46,39.51,39.11,39.16,2376603
2025-02-06,39.21,39.56,39.16,39.36,3984458
2025-02-07,39.36,40.35,39.36,40.05,8081402
2025-02-10,40.05,40.75,39.66,39.91,4607922
2025-02-11,40.05,40.3,39.66,40.01,2880952
2025-02-12,39.91,40.01,39.46,39.56,4343069
2025-02-13,39.56,39.81,39.46,39.56,2434400
2025-02-14,39.91,40.4,39.71,40.2,4562905
2025-02-17,40.2,40.2,39.71,39.76,2277851
2025-02-18,39.66,40.2,39.61,40.05,3325066
2025-02-19,40.05,40.45,39.96,40.4,5459498
2025-02-20,40.55,40.6,40.2,40.45,3405951
2025-02-21,40.4,40.6,40.2,40.45,2994507
2025-02-24,40.45,40.94,40.25,40.65,4177842
2025-02-25,40.7,40.9,40.55,40.8,4355951
2025-02-26,40.75,40.8,40.5,40.75,3024367
2025-02-27,40.75,40.85,40.45,40.5,2557038
2025-02-28,40.5,40.5,40.25,40.5,3056810
2025-03-03,40.5,40.75,40.4,40.5,1969946
2025-03-04,40.35,40.45,39.96,40.35,3345330
2025-03-05,40.25,40.7,40.01,40.2,2834149
2025-03-06,40.2,40.45,40.1,40.35,2393857
2025-03-07,40.35,40.7,40.25,40.7,4626906
2025-03-10,40.85,41.54,40.75,40.94,4889220
2025-03-11,40.5,40.94,40.3,40.94,3357324
2025-03-12,40.9,40.94,40.4,40.45,3973124
2025-03-13,40.45,40.45,39.66,39.76,3986658
2025-03-14,39.76,39.96,39.61,39.96,2301884
2025-03-17,39.96,40.1,39.71,39.91,3323206
2025-03-18,40.05,40.15,39.56,39.56,3424747
2025-03-19,39.76,39.76,39.11,39.36,3186748
2025-03-20,39.11,39.46,39.11,39.36,2259323
2025-03-21,39.16,39.36,39.02,39.02,2412157
2025-03-24,39.02,39.07,38.57,38.67,3736994
2025-03-25,38.77,39.26,38.77,39.26,2940691
2025-03-26,39.16,39.41,38.97,39.11,2607000
2025-03-27,39.21,39.21,38.67,38.67,1866106
2025-03-28,38.72,38.82,38.62,38.67,1403596
2025-03-31,38.57,38.57,38.08,38.32,2904998
2025-04-01,38.47,38.57,38.27,38.57,1370099
2025-04-02,38.82,38.82,38.27,38.27,3029476
2025-04-03,36.59,37.48,35.6,35.6,7530101
2025-04-04,33.18,35.6,33.18,35.6,6892436
2025-04-08,34.62,35.11,33.13,33.13,4718118
2025-04-09,30.86,34.12,30.86,32.09,6525942
2025-04-10,34.32,34.32,34.32,34.32,636561
2025-04-11,36.49,36.49,35.16,36.35,6958448
2025-04-14,36.59,36.59,35.6,36.59,3554149
2025-04-15,36.2,36.35,35.6,36.1,3005029
2025-04-16,35.7,36.0,35.31,35.6,2919518
2025-04-17,34.81,35.46,34.57,35.46,3131689
2025-04-18,35.8,35.85,35.46,35.55,3480592
2025-04-21,35.55,35.6,34.71,34.86,2109681
2025-04-22,34.76,34.81,32.44,34.71,3605492
2025-04-23,35.36,35.36,34.62,34.96,1851936
2025-04-24,34.96,35.06,34.52,35.06,2031745
2025-04-25,34.91,35.01,34.62,34.62,2688066
2025-04-28,34.91,34.91,34.02,34.17,3324623
2025-04-29,34.22,34.37,33.97,34.17,2442470
2025-05-05,34.27,34.47,33.92,34.47,1838148
2025-05-06,34.52,34.81,34.17,34.57,2976723
2025-05-07,34.42,34.52,34.22,34.52,2131802
2025-05-08,34.52,35.16,34.32,35.06,4670498
2025-05-09,35.16,35.31,34.71,34.71,3062519
2025-05-12,34.71,34.91,34.62,34.86,3140235
2025-05-13,35.06,35.41,34.91,35.41,6596159
2025-05-14,35.55,37.09,35.51,37.04,11864503
2025-05-15,37.09,37.29,36.74,36.99,6231081
2025-05-16,36.99,37.04,36.15,36.2,5780387
2025-05-19,36.1,36.15,35.7,35.8,2746755
2025-05-20,35.85,36.0,35.46,35.8,4654483
2025-05-21,35.95,36.44,35.6,35.8,3688255
2025-05-22,35.8,35.8,35.46,35.6,3484285
2025-05-23,35.6,35.6,35.11,35.46,3342954
2025-05-26,35.46,35.51,34.62,35.46,2515946
2025-05-27,35.6,36.0,35.41,35.9,3551129
2025-05-28,36.54,36.54,35.65,36.1,4676435
2025-05-29,36.1,36.1,35.7,36.05,3032836
2025-05-30,36.0,36.0,35.41,35.6,2338029
2025-06-02,35.41,35.46,35.11,35.31,2800372
2025-06-03,35.51,35.75,35.41,35.51,2731965
2025-06-04,35.6,35.7,35.26,35.36,3013267
2025-06-05,35.51,35.51,35.06,35.11,3306175
2025-06-06,35.11,35.26,34.81,34.86,2797449
2025-06-09,34.86,34.96,34.62,34.86,1663178
2025-06-10,34.86,35.06,34.81,34.81,1867776
2025-06-11,34.91,35.01,34.62,34.66,1241199
2025-06-12,34.71,35.01,34.71,34.91,1418725
2025-06-13,34.66,35.85,34.62,35.16,6325970
2025-06-16,35.16,35.51,35.06,35.46,2710730
2025-06-17,35.6,35.8,35.46,35.51,3749543
2025-06-18,35.51,35.65,35.21,35.26,2599974
2025-06-19,35.31,35.51,35.11,35.41,1874990
2025-06-20,35.41,36.0,35.41,35.6,5987380
2025-06-23,35.26,35.6,35.16,35.46,2292599
2025-06-24,35.65,35.8,35.31,35.6,4419949
2025-06-25,35.65,35.85,35.46,35.46,3398132
2025-06-26,35.51,35.55,35.21,35.31,2342386
2025-06-27,35.31,36.25,35.31,35.7,8303279
2025-06-30,35.95,35.95,35.8,35.9,4553539
2025-07-01,35.95,36.44,35.85,36.2,7019449
2025-07-02,36.2,36.25,35.9,36.0,3807613
2025-07-03,36.1,36.4,35.75,35.9,6061507
2025-07-04,36.05,36.3,35.9,36.15,3911085
2025-07-07,36.25,36.79,36.25,36.79,11244684
2025-07-08,36.79,37.09,36.59,37.09,7368451
2025-07-09,37.24,38.03,37.09,37.78,11145800
2025-07-10,38.08,38.27,37.63,37.83,7739790
2025-07-11,37.83,38.22,37.73,37.88,8722310
2025-07-14,38.08,38.92,37.88,38.22,8317344
2025-07-15,38.18,38.32,37.68,37.68,5794593
2025-07-16,37.48,37.98,37.43,37.98,7126531
2025-07-17,38.37,38.37,37.73,37.88,5685877
2025-07-18,37.88,38.37,37.58,37.93,9042229
2025-07-21,38.03,38.22,37.63,37.68,6208093
2025-07-22,37.63,38.87,37.58,38.47,10831700
2025-07-23,38.67,38.77,38.13,38.27,6989454
2025-07-24,38.57,39.21,38.27,38.42,10961181
2025-07-25,38.67,38.67,38.32,38.42,6294216
2025-07-28,38.67,39.36,38.47,38.97,11066907
2025-07-29,39.21,39.21,36.99,36.99,15409891
2025-07-30,36.99,38.37,36.89,37.68,9313914
2025-07-31,38.08,38.08,37.09,37.43,6296151
2025-08-01,37.43,37.88,36.69,36.79,7126572
2025-08-04,36.79,37.83,36.79,37.63,4472310
2025-08-05,37.98,39.76,37.78,38.32,28558722
2025-08-06,38.57,39.46,38.52,39.07,6990744
2025-08-07,39.26,40.05,39.07,40.01,12295921
2025-08-08,40.55,40.55,38.92,39.26,16744332
2025-08-11,39.56,40.15,39.16,39.76,11402011
