date,open,high,low,close,volume
2024-12-03,47.69,51.41,47.69,51.12,1836502
2024-12-04,51.02,52.0,49.94,51.02,1115346
2024-12-05,50.43,52.2,50.43,50.92,1253574
2024-12-06,51.41,52.49,50.34,51.02,903803
2024-12-09,50.83,50.92,49.94,50.73,863482
2024-12-10,50.73,52.4,50.43,51.61,1120622
2024-12-11,52.0,52.0,50.43,51.22,523569
2024-12-12,51.22,52.0,50.73,51.91,602760
2024-12-13,51.71,53.77,51.22,52.2,1404783
2024-12-16,52.0,52.1,51.22,51.32,469397
2024-12-17,51.22,52.0,51.12,51.12,539530
2024-12-18,50.92,52.0,50.73,51.22,496252
2024-12-19,51.02,52.3,50.63,51.41,893185
2024-12-20,51.02,51.81,50.14,50.24,1323851
2024-12-23,50.43,52.3,50.43,52.1,715179
2024-12-24,52.4,52.4,51.12,51.81,559438
2024-12-25,52.2,54.65,51.91,52.59,1433026
2024-12-26,52.2,52.4,51.51,51.61,653839
2024-12-27,51.41,51.61,50.92,51.32,385397
2024-12-30,50.73,52.0,50.63,51.02,360973
2024-12-31,51.02,51.12,49.75,49.75,786943
2025-01-02,50.24,51.02,49.84,50.53,614709
2025-01-03,50.34,50.43,48.81,48.81,1175499
2025-01-06,48.57,49.01,47.59,47.59,1085429
2025-01-07,47.59,48.37,47.15,47.88,712748
2025-01-08,47.34,48.86,47.34,48.47,540280
2025-01-09,48.08,48.37,47.88,48.08,435715
2025-01-10,47.88,49.16,47.69,48.57,905771
2025-01-13,48.08,48.57,48.03,48.57,333349
2025-01-14,48.57,49.84,48.57,49.84,693842
2025-01-15,49.94,50.73,49.45,50.24,771549
2025-01-16,50.63,50.63,49.16,50.24,447404
2025-01-17,50.04,51.51,50.04,51.22,733345
2025-01-20,50.92,51.41,50.63,51.22,443572
2025-01-21,51.32,52.2,50.53,51.02,987968
2025-01-22,51.02,51.12,49.75,49.75,499938
2025-01-23,49.84,50.43,49.55,49.75,564241
2025-01-24,49.84,50.24,49.35,49.84,389905
2025-02-03,49.84,50.34,49.65,49.75,390674
2025-02-04,49.75,50.43,49.75,50.43,382900
2025-02-05,50.43,50.92,49.75,50.34,415778
2025-02-06,50.43,50.63,49.84,50.24,408095
2025-02-07,50.24,52.4,50.14,51.12,1240625
2025-02-10,51.12,52.4,50.63,51.91,969252
2025-02-11,51.91,52.69,51.61,51.71,776122
2025-02-12,51.91,53.97,51.51,53.38,1457516
2025-02-13,54.26,54.26,53.08,53.38,755674
2025-02-14,53.28,54.26,52.69,53.38,1081557
2025-02-17,53.38,53.97,52.59,52.59,804643
2025-02-18,52.69,56.22,52.2,56.22,2243274
2025-02-19,56.71,56.71,55.44,55.44,430077
2025-02-20,55.44,57.3,55.44,55.83,1049476
2025-02-21,56.32,57.2,55.14,56.91,911042
2025-02-24,56.32,57.79,55.83,57.6,902312
2025-02-25,56.91,57.6,55.73,56.12,530600
2025-02-26,56.22,56.81,55.93,56.71,372793
2025-02-27,56.71,58.58,56.52,56.71,1159304
2025-02-28,56.71,56.71,55.54,55.54,767710
2025-03-03,55.24,55.93,55.14,55.83,771904
2025-03-04,55.83,55.83,54.65,55.54,677842
2025-03-05,55.54,56.22,55.05,55.54,626516
2025-03-06,55.93,56.71,55.54,56.62,877785
2025-03-07,56.62,57.01,55.63,55.63,692859
2025-03-10,55.73,56.32,54.85,55.14,693333
2025-03-11,54.85,55.44,53.48,53.87,1175670
2025-03-12,54.16,54.36,53.57,53.97,438944
2025-03-13,53.97,54.55,52.98,53.08,696234
2025-03-14,53.08,53.38,52.3,52.59,662100
2025-03-17,52.69,53.38,50.63,52.0,670608
2025-03-18,51.91,52.49,51.91,52.3,256868
2025-03-19,52.2,52.89,51.81,52.4,502601
2025-03-20,52.0,52.69,51.81,52.0,476182
2025-03-21,52.3,52.4,51.51,51.51,394626
2025-03-24,51.51,51.81,50.63,51.22,524226
2025-03-25,51.22,51.91,51.22,51.41,238475
2025-03-26,51.41,51.71,50.73,51.22,260411
2025-03-27,51.22,52.79,51.02,52.2,597632
2025-03-28,52.2,53.18,51.91,52.49,464768
2025-03-31,52.79,53.48,52.2,52.3,603373
2025-04-01,52.4,52.4,51.41,51.71,391680
2025-04-02,52.0,52.4,51.02,51.12,563708
2025-04-03,47.98,49.94,47.59,47.59,802125
2025-04-04,44.3,47.59,44.3,44.3,2126177
2025-04-08,42.78,44.15,41.21,41.21,785689
2025-04-09,38.36,41.21,38.36,38.36,1657955
2025-04-10,41.01,41.01,41.01,41.01,56829
2025-04-11,43.37,43.37,41.9,43.17,1116373
2025-04-14,43.81,44.15,43.37,43.76,520939
2025-04-15,43.27,43.76,42.14,43.17,1030737
2025-04-16,42.73,44.74,42.73,43.22,681048
2025-04-17,43.22,44.6,43.17,44.5,558794
2025-04-18,44.79,45.04,44.15,44.15,536665
2025-04-21,44.6,44.6,42.78,43.17,403076
2025-04-22,42.73,43.07,40.23,42.58,1658659
2025-04-23,44.15,44.15,43.17,43.17,501910
2025-04-24,43.27,45.72,43.27,45.58,1258806
2025-04-25,45.87,46.41,45.23,45.23,629847
2025-04-28,45.82,45.82,44.84,45.14,206559
2025-04-29,45.33,45.77,44.64,45.09,296770
2025-05-05,45.72,46.02,44.69,45.23,300973
2025-05-06,45.28,47.29,45.14,46.61,1032878
2025-05-07,46.21,48.37,46.21,48.08,1321327
2025-05-08,48.23,48.23,47.1,47.98,598854
2025-05-09,47.83,48.91,47.24,47.29,583195
2025-05-12,47.29,47.93,46.95,47.88,496308
2025-05-13,48.86,48.86,47.88,48.18,479922
2025-05-14,48.52,48.52,47.59,48.28,393508
2025-05-15,48.28,49.35,47.88,48.67,770646
2025-05-16,48.72,48.86,47.34,47.34,291808
2025-05-19,47.34,47.83,47.24,47.34,338580
2025-05-20,47.29,48.86,47.0,48.77,859521
2025-05-21,49.26,49.94,48.86,49.35,570388
2025-05-22,48.23,49.65,48.23,48.57,413981
2025-05-23,48.72,49.26,48.32,48.72,250485
2025-05-26,48.77,50.43,48.37,50.43,1266668
2025-05-27,50.73,51.71,50.24,51.51,937575
2025-05-28,51.02,51.51,50.14,51.41,429775
2025-05-29,51.22,51.32,50.43,50.63,307929
2025-05-30,50.43,50.53,49.55,49.65,460813
2025-06-02,50.43,50.43,48.86,49.55,444831
2025-06-03,49.65,50.83,49.65,50.43,516708
2025-06-04,50.73,50.73,49.75,50.34,269787
2025-06-05,50.34,50.34,49.01,49.45,880037
2025-06-06,49.06,49.55,48.57,48.57,445348
2025-06-09,48.47,49.06,47.69,47.69,561064
2025-06-10,48.08,48.86,47.69,47.98,297359
2025-06-11,48.08,48.52,47.88,48.47,315662
2025-06-12,48.96,48.96,48.37,48.86,248291
2025-06-13,48.52,48.67,48.18,48.37,287429
2025-06-16,48.37,50.73,48.37,50.63,785699
2025-06-17,50.92,51.51,50.14,50.73,637446
2025-06-18,50.73,51.12,50.53,50.92,246212
2025-06-19,51.12,51.22,50.34,50.34,232376
2025-06-20,50.53,51.12,49.65,49.65,522177
2025-06-23,49.65,50.83,49.06,50.24,266586
2025-06-24,50.53,53.08,50.53,53.08,989176
2025-06-25,53.08,53.08,51.71,51.71,290628
2025-06-26,52.4,52.4,51.41,51.51,182056
2025-06-27,51.32,52.3,51.12,51.22,381584
2025-06-30,51.41,52.69,51.02,52.1,360924
2025-07-01,51.71,53.28,50.73,52.59,656055
2025-07-02,52.3,53.38,52.3,52.49,515641
2025-07-03,52.0,52.69,51.51,52.0,606852
2025-07-04,51.81,53.97,51.41,53.87,530827
2025-07-07,53.18,53.87,52.79,53.48,303935
2025-07-08,53.48,53.48,52.79,52.89,246065
2025-07-09,53.28,53.97,52.79,52.89,811824
2025-07-10,52.89,53.28,52.1,52.98,455920
2025-07-11,52.98,53.77,52.69,52.69,526699
2025-07-14,52.69,53.38,52.49,52.89,365300
2025-07-15,53.28,53.77,52.49,52.79,653147
2025-07-16,52.79,53.38,52.3,53.38,291898
2025-07-17,53.38,53.48,52.4,52.49,543267
2025-07-18,52.3,52.4,51.41,51.51,594022
2025-07-21,51.51,51.81,50.73,50.92,422702
2025-07-22,50.73,51.51,50.63,51.51,349628
2025-07-23,51.71,52.2,51.32,51.41,367537
2025-07-24,51.71,51.91,51.02,51.22,299087
2025-07-25,51.32,51.71,50.92,51.02,698527
2025-07-28,51.02,52.1,50.92,51.22,751005
2025-07-29,51.32,51.61,48.67,48.67,950888
2025-07-30,48.28,49.16,48.28,48.62,554493
2025-07-31,49.26,49.35,48.13,48.32,1133750
2025-08-01,48.57,49.06,48.32,49.06,850128
2025-08-04,49.06,49.75,49.01,49.06,667909
2025-08-05,49.26,50.04,48.86,48.86,1114607
2025-08-06,49.06,50.24,48.86,50.24,653346
2025-08-07,50.53,51.02,50.14,51.02,819293
2025-08-08,51.02,51.51,50.53,51.02,716231
2025-08-11,51.12,53.28,51.12,52.59,1561728
2025-08-12,52.98,52.98,51.51,52.4,908941
2025-08-13,52.89,56.03,52.89,56.03,2715609
2025-08-14,59.66,59.85,58.38,59.76,2570819
2025-08-15,62.99,63.09,58.58,60.64,2219756
2025-08-18,61.32,64.27,58.68,61.62,1704246
2025-08-19,61.72,61.72,59.85,60.05,1128479
2025-08-20,60.34,60.54,57.11,58.28,1245965
2025-08-21,57.69,60.25,57.2,58.87,1373053
2025-08-22,57.4,58.68,55.34,56.03,1208318
2025-08-25,56.32,58.38,56.22,57.4,684201
2025-08-26,57.4,59.76,56.12,59.36,720748
2025-08-27,58.87,59.56,57.99,58.58,594996
2025-08-28,58.68,59.36,57.69,59.36,576656
2025-08-29,60.05,60.05,56.42,57.79,725501
2025-09-03,57.01,58.58,57.01,57.3,383193
2025-09-04,57.3,59.46,57.3,59.36,569408
2025-09-05,59.95,59.95,57.4,57.4,744263
2025-09-08,57.69,57.69,55.83,55.83,690532
2025-09-09,55.54,56.03,54.95,55.73,289793
2025-09-10,55.73,57.11,55.73,56.22,213589
2025-09-11,56.22,56.71,54.75,56.62,405951
2025-09-12,57.11,57.5,56.42,56.62,319813
2025-09-15,56.62,58.19,56.62,58.19,350969
2025-09-16,58.38,58.38,57.11,57.3,345218
2025-09-17,57.01,59.76,57.01,58.38,830987
2025-09-18,58.87,58.87,57.4,57.6,206256
2025-09-19,58.09,58.09,56.81,56.81,400848
2025-09-22,56.42,56.62,55.14,55.44,351771
2025-09-23,55.44,55.83,54.95,54.95,167902
2025-09-24,54.95,55.63,53.97,55.44,320170
2025-09-25,55.54,55.93,55.05,55.44,156197
2025-09-26,55.44,56.12,55.24,55.44,263441
2025-09-29,55.63,55.63,54.55,55.14,209081
2025-09-30,54.95,55.34,53.67,54.26,361081
2025-10-01,54.26,54.46,53.87,53.87,164674
2025-10-02,53.97,54.46,53.08,53.08,180707
2025-10-03,52.69,53.08,51.91,52.0,236738
2025-10-06,52.79,53.48,52.49,53.48,248353
2025-10-07,53.38,53.57,52.3,52.4,443911
2025-10-08,53.38,53.87,52.79,53.77,241070
2025-10-09,53.38,54.16,53.38,54.06,178877
2025-10-10,54.16,54.16,52.98,53.48,397143
2025-10-13,53.38,53.38,51.41,51.81,551232
2025-10-14,52.1,52.59,50.73,51.02,817785
2025-10-15,51.02,51.02,49.55,50.04,726195
2025-10-16,50.04,50.43,48.08,50.43,363662
2025-10-17,50.92,50.92,49.16,49.55,314900
2025-10-20,49.45,49.75,46.21,46.21,636227
2025-10-21,46.61,48.08,46.41,48.08,508992
2025-10-22,48.57,48.77,47.49,48.37,144642
2025-10-23,48.37,48.57,48.18,48.47,87924
2025-10-24,48.47,48.57,47.34,47.83,307595
2025-10-27,47.83,49.65,47.83,48.86,272260
2025-10-28,48.86,49.01,48.37,48.96,164772
2025-10-29,49.06,49.94,48.91,49.26,344375
2025-10-30,49.26,49.84,49.16,49.65,219440
2025-10-31,50.34,51.41,49.75,49.84,738449
2025-11-03,50.43,53.28,49.94,53.28,878974
2025-11-04,53.87,54.16,50.73,53.28,1017415
2025-11-05,53.08,54.85,52.59,53.48,836379
2025-11-06,54.06,54.06,52.2,53.08,348230
2025-11-07,53.08,53.38,50.83,51.02,466773
2025-11-10,51.12,53.08,51.02,52.0,368141
2025-11-11,52.49,53.08,52.1,52.4,281667
2025-11-12,52.4,55.24,52.1,54.95,829117
2025-11-13,55.73,55.73,54.06,54.95,452252
2025-11-14,54.5,56.1,54.5,55.3,531259
2025-11-17,55.8,55.8,54.0,54.1,441021
2025-11-18,54.1,54.2,53.3,54.2,405234
2025-11-19,54.1,55.1,54.1,54.2,329011
2025-11-20,54.2,55.7,54.2,55.3,749239
2025-11-21,54.7,55.3,53.0,54.1,467666
2025-11-24,54.1,54.2,53.1,53.2,200214
2025-11-25,53.2,53.2,51.9,51.9,349624
2025-11-26,52.3,52.3,51.6,51.9,164020
2025-11-27,52.5,52.9,52.0,52.9,151600
2025-11-28,52.9,53.0,52.0,52.1,156400
2025-12-01,52.1,52.2,51.5,51.5,203000
2025-12-02,51.4,52.3,50.4,51.7,496700
2025-12-03,51.8,53.4,51.8,53.4,389000
2025-12-04,53.5,53.5,52.7,52.8,347700
2025-12-05,53.2,53.2,51.9,52.0,386700
2025-12-08,52.0,55.6,52.0,55.6,1282300
2025-12-09,56.5,57.0,54.2,55.0,855400
2025-12-10,55.4,55.4,53.1,54.3,554800
2025-12-11,54.2,55.3,53.4,54.6,501000
2025-12-12,54.6,54.8,52.0,52.0,578300
2025-12-15,51.9,53.0,51.6,52.7,303800
2025-12-16,52.6,53.6,51.0,53.4,446500
2025-12-17,53.2,54.4,53.0,53.4,347300
2025-12-18,53.5,54.2,53.2,53.4,291900
2025-12-19,53.4,54.1,52.3,54.0,339400
2025-12-22,54.0,56.0,53.7,56.0,828400
2025-12-23,55.9,57.1,54.8,56.0,584400
2025-12-24,56.0,56.0,54.5,56.0,442800
2025-12-25,56.0,56.0,54.6,55.3,380300
2025-12-26,54.5,55.9,52.8,55.9,715000
2025-12-29,55.9,59.8,55.5,59.8,1306800
2025-12-30,60.0,60.0,58.2,59.4,452900
2025-12-31,59.1,59.5,56.8,56.8,625000
2026-01-05,56.9,59.0,56.2,57.3,601100
2026-01-06,57.3,61.3,57.3,61.3,920400
2026-01-07,63.0,65.5,63.0,65.5,1593200
2026-01-08,70.0,70.0,66.0,66.2,3021300
2026-01-09,69.0,69.4,66.6,67.5,1864400
2026-01-12,67.9,70.0,64.1,66.0,1804600
2026-01-13,65.1,68.0,64.8,67.9,1210600
2026-01-14,68.6,72.0,67.2,68.5,2486700
2026-01-15,68.7,73.2,67.3,73.2,2122500
2026-01-16,78.0,78.0,73.5,73.7,2961800
2026-01-19,73.7,73.7,70.2,71.3,1369600
2026-01-20,72.0,75.9,70.8,73.0,1698100
2026-01-21,71.3,75.4,71.3,73.9,1271800
2026-01-22,74.8,78.5,73.0,76.0,1644300
2026-01-23,75.2,75.2,72.1,72.6,1249000
2026-01-26,71.1,71.1,67.6,67.8,1937800
2026-01-27,68.3,70.8,66.9,69.0,1368400
2026-01-28,70.2,70.4,67.4,68.8,964300
2026-01-29,68.8,69.3,66.6,69.1,748000
2026-01-30,69.3,71.0,68.5,69.8,707100
2026-02-02,69.8,74.6,69.8,74.6,1682700
2026-02-03,75.0,79.8,73.0,79.8,1985700
2026-02-04,79.9,84.5,79.0,82.0,1943400
2026-02-05,81.4,82.7,79.1,79.5,973400
2026-02-06,77.5,82.0,75.2,78.0,1731400
2026-02-09,77.9,79.0,76.0,76.5,524900
2026-02-10,77.8,79.2,72.0,74.9,1152300
2026-02-11,75.0,80.0,73.5,78.3,1019800
2026-02-12,79.0,79.3,76.3,76.6,394100
2026-02-13,77.1,77.1,74.0,76.0,646400
2026-02-23,77.0,81.3,76.8,81.3,835500
2026-02-24,83.6,84.0,82.0,84.0,721600
2026-02-25,84.4,87.4,79.5,86.0,1181200
2026-02-26,85.1,85.5,81.9,84.0,615300
