date,open,high,low,close,volume
2024-12-03,120.92,124.5,120.92,123.73,5115471
2024-12-04,123.73,124.84,121.86,122.45,5618586
2024-12-05,122.88,126.72,122.54,126.72,4862983
2024-12-06,129.62,129.62,126.29,127.57,4554818
2024-12-09,127.32,127.57,124.67,125.44,4551406
2024-12-10,125.52,127.57,125.44,127.57,3603755
2024-12-11,128.0,129.45,127.74,128.43,4828035
2024-12-12,129.62,129.62,127.32,128.17,4158310
2024-12-13,127.57,128.77,127.49,127.57,3387167
2024-12-16,127.66,128.51,127.57,127.91,3296592
2024-12-17,128.08,128.43,126.04,126.29,5958677
2024-12-18,126.29,127.83,126.29,126.89,2927454
2024-12-19,125.7,127.15,125.61,126.38,4811922
2024-12-20,126.72,128.51,126.55,127.57,3544255
2024-12-23,127.57,127.91,126.89,127.83,2520029
2024-12-24,128.0,128.68,127.49,128.34,2306686
2024-12-25,128.51,129.02,128.34,128.68,2517969
2024-12-26,128.85,129.19,127.23,127.83,2238343
2024-12-27,127.57,127.91,126.89,127.66,2567003
2024-12-30,127.49,128.68,126.72,128.43,1986819
2024-12-31,128.6,131.33,128.26,130.13,3612655
2025-01-02,130.13,130.3,128.08,129.71,3179535
2025-01-03,129.11,129.11,127.15,127.15,4342125
2025-01-06,127.23,128.17,126.63,127.4,3472044
2025-01-07,127.57,129.11,127.57,128.08,3458671
2025-01-08,128.0,128.0,126.38,126.55,3886957
2025-01-09,126.55,127.32,126.29,126.98,1724571
2025-01-10,126.98,127.23,125.61,125.7,2531304
2025-01-13,124.67,126.72,123.48,125.95,3495883
2025-01-14,125.95,126.29,123.82,123.82,2910614
2025-01-15,124.59,125.01,123.56,124.16,2849518
2025-01-16,124.76,125.44,123.9,125.01,3577267
2025-01-17,125.1,128.08,124.59,127.15,3543613
2025-01-20,127.15,128.34,126.46,128.0,2222776
2025-01-21,128.43,129.19,127.15,127.91,2487666
2025-01-22,127.66,128.51,127.32,127.74,2791445
2025-01-23,128.08,133.12,128.0,131.67,7071025
2025-01-24,131.5,131.84,130.9,130.9,3663137
2025-02-03,126.29,127.32,123.99,124.16,12782345
2025-02-04,124.59,125.44,123.99,124.76,5484258
2025-02-05,125.35,125.87,124.42,124.84,5215921
2025-02-06,125.44,125.7,124.24,125.01,3436430
2025-02-07,125.01,125.18,124.42,124.67,3871195
2025-02-10,124.16,124.16,121.17,121.17,7778331
2025-02-11,121.34,124.07,119.55,124.07,5374143
2025-02-12,124.24,124.33,123.14,123.73,1894041
2025-02-13,123.73,123.73,121.77,122.11,2864744
2025-02-14,122.88,123.73,122.54,123.65,3258612
2025-02-17,123.73,123.73,122.37,122.54,2476462
2025-02-18,122.71,123.22,122.11,122.79,1670138
2025-02-19,122.79,123.65,122.11,122.88,3035921
2025-02-20,123.05,123.39,122.03,122.03,3392942
2025-02-21,121.86,121.94,120.75,121.17,5328132
2025-02-24,121.17,121.17,119.04,119.89,7522473
2025-02-25,119.81,119.81,117.93,118.61,6832220
2025-02-26,118.7,121.0,118.53,121.0,3331505
2025-02-27,121.17,121.34,120.06,120.58,3433107
2025-02-28,119.55,120.4,118.61,119.72,4704828
2025-03-03,119.89,120.66,119.72,119.89,2546980
2025-03-04,119.04,119.98,118.87,119.47,3480042
2025-03-05,119.47,119.55,118.7,118.7,2862185
2025-03-06,119.04,122.45,119.04,120.83,6428376
2025-03-07,120.92,121.77,120.4,120.66,2966941
2025-03-10,120.75,120.75,118.78,118.87,5343134
2025-03-11,117.76,118.19,116.91,117.33,5801595
2025-03-12,117.5,118.36,115.97,115.97,6229823
2025-03-13,116.14,117.76,116.14,116.48,3630282
2025-03-14,115.71,116.31,111.62,112.13,16174178
2025-03-17,112.3,112.72,110.59,110.93,6750806
2025-03-18,111.02,112.81,110.93,110.93,5538119
2025-03-19,111.02,111.44,105.39,106.32,18229064
2025-03-20,106.32,108.2,106.24,106.67,8231543
2025-03-21,106.67,110.08,106.67,109.23,6450846
2025-03-24,109.65,110.34,108.63,110.08,5114180
2025-03-25,110.76,110.85,107.95,107.95,5662235
2025-03-26,107.95,107.95,104.7,104.96,9787345
2025-03-27,104.11,107.95,103.34,107.69,6486187
2025-03-28,107.6,107.86,105.81,105.81,2959445
2025-03-31,105.3,105.3,103.25,103.25,5435725
