date,open,high,low,close,volume
2024-12-03,65.23,65.51,64.67,64.67,635508
2024-12-04,64.67,65.14,64.48,64.57,309857
2024-12-05,64.67,65.7,64.48,64.86,632081
2024-12-06,65.8,65.8,64.95,65.14,432819
2024-12-09,65.42,65.42,65.14,65.23,397177
2024-12-10,65.33,65.51,64.95,64.95,403884
2024-12-11,64.95,65.14,64.57,64.67,540375
2024-12-12,64.76,64.95,64.48,64.48,516999
2024-12-13,64.48,64.57,64.2,64.38,348855
2024-12-16,64.48,64.57,64.1,64.1,351048
2024-12-17,64.1,64.48,64.01,64.01,414016
2024-12-18,64.38,64.67,64.29,64.48,505584
2024-12-19,64.2,64.57,64.01,64.48,722922
2024-12-20,64.48,64.76,64.38,64.57,342798
2024-12-23,64.76,65.04,64.48,64.48,565417
2024-12-24,64.57,64.67,64.2,64.2,510724
2024-12-25,64.29,64.86,64.29,64.38,457811
2024-12-26,64.57,65.51,64.48,64.48,998374
2024-12-27,64.67,64.95,64.48,64.48,541006
2024-12-30,64.57,64.76,64.2,64.2,403368
2024-12-31,64.38,64.67,64.1,64.1,771779
2025-01-02,64.29,64.48,64.01,64.1,428945
2025-01-03,64.1,64.38,64.01,64.01,461525
2025-01-06,64.01,64.2,63.35,63.54,675519
2025-01-07,63.63,63.91,62.97,63.07,684430
2025-01-08,63.07,63.26,62.69,63.16,522641
2025-01-09,63.26,63.54,62.88,63.07,370904
2025-01-10,63.07,63.54,62.78,62.78,423495
2025-01-13,62.78,63.16,62.31,62.5,543700
2025-01-14,62.6,63.44,62.6,62.97,398081
2025-01-15,63.26,63.44,62.88,62.88,395965
2025-01-16,63.16,63.35,62.69,62.97,494534
2025-01-17,63.26,63.26,62.69,62.88,322610
2025-01-20,63.26,64.2,62.88,63.73,663286
2025-01-21,64.01,64.1,63.16,63.16,350164
2025-01-22,63.54,63.54,62.78,62.88,314300
2025-01-23,62.88,63.26,62.78,63.07,317886
2025-01-24,63.07,63.91,62.88,63.91,433426
2025-02-03,63.82,63.82,62.97,63.16,464089
2025-02-04,62.97,63.35,62.97,63.16,399294
2025-02-05,63.54,64.1,63.44,63.82,653675
2025-02-06,64.2,64.2,63.54,63.63,540424
2025-02-07,63.63,64.01,63.35,63.35,819020
2025-02-10,63.26,63.63,62.97,63.35,734423
2025-02-11,63.35,63.91,62.6,63.07,672417
2025-02-12,63.07,63.54,63.07,63.16,344984
2025-02-13,63.16,63.16,62.69,62.78,652055
2025-02-14,63.35,63.91,63.07,63.73,1148668
2025-02-17,63.73,64.38,63.54,63.82,764369
2025-02-18,64.01,64.29,63.73,64.01,635619
2025-02-19,64.2,64.95,63.91,64.67,1391454
2025-02-20,65.14,65.23,64.48,64.76,603108
2025-02-21,64.57,64.76,64.2,64.38,768870
2025-02-24,64.2,64.76,63.82,64.57,1067313
2025-02-25,64.67,65.23,64.29,64.67,811623
2025-02-26,64.67,64.86,64.38,64.38,520569
2025-02-27,64.38,64.57,63.91,64.01,810546
2025-02-28,64.1,64.67,64.01,64.01,788934
2025-03-03,64.1,64.67,64.1,64.57,648941
2025-03-04,64.57,65.33,64.29,65.04,1446897
2025-03-05,65.14,65.23,64.38,64.38,742204
2025-03-06,64.29,64.48,64.1,64.29,830862
2025-03-07,64.29,64.38,63.73,63.82,1400205
2025-03-10,64.1,64.2,63.26,63.82,1423956
2025-03-11,63.63,63.73,63.07,63.44,524630
2025-03-12,63.82,64.29,63.44,63.91,762710
2025-03-13,63.91,64.76,63.82,64.29,1089423
2025-03-14,64.2,64.29,63.35,63.73,944662
2025-03-17,63.82,64.38,63.73,64.2,1118340
2025-03-18,64.57,65.8,64.1,65.04,2799984
2025-03-19,65.04,65.7,64.57,64.76,705383
2025-03-20,64.67,65.04,64.1,64.57,751046
2025-03-21,64.48,64.57,63.73,63.73,1175106
2025-03-24,64.01,64.01,63.07,63.26,1197442
2025-03-25,63.54,63.63,63.16,63.26,769187
2025-03-26,63.35,64.2,63.26,63.54,549281
2025-03-27,63.63,64.01,63.16,63.26,427958
2025-03-28,63.44,63.44,62.88,62.88,773315
2025-03-31,62.88,62.88,62.13,62.88,730088
2025-04-01,62.97,63.82,62.78,63.54,871673
2025-04-02,63.26,63.63,63.07,63.16,255498
2025-04-03,59.77,61.56,58.83,58.83,2019618
2025-04-04,54.78,57.23,54.78,55.25,2749154
2025-04-08,52.71,53.0,51.39,51.39,2638742
2025-04-09,47.82,52.71,47.82,47.82,2771893
2025-04-10,51.11,51.11,51.11,51.11,57969
2025-04-11,54.69,54.69,52.52,54.69,2260184
2025-04-14,56.29,56.29,55.16,55.72,1095600
2025-04-15,55.54,55.82,54.69,54.78,842624
2025-04-16,54.78,55.35,53.75,54.69,630914
2025-04-17,53.94,54.88,53.65,54.69,484864
2025-04-18,54.97,55.91,54.88,54.97,658045
2025-04-21,54.97,55.25,54.41,54.69,300891
2025-04-22,53.75,54.69,51.11,54.12,1112830
2025-04-23,54.69,55.16,54.03,54.12,698924
2025-04-24,54.12,54.6,53.94,54.12,411235
2025-04-25,54.22,55.07,54.12,55.07,914869
2025-04-28,54.97,55.07,54.69,54.97,272057
2025-04-29,54.97,54.97,54.78,54.88,310949
2025-05-05,54.97,55.25,54.41,55.07,659689
2025-05-06,55.35,56.29,55.16,56.1,901786
2025-05-07,56.1,57.89,56.1,56.95,886178
2025-05-08,57.42,58.08,57.14,57.8,863199
2025-05-09,57.98,58.36,57.23,57.51,492943
2025-05-12,57.42,58.83,57.42,58.64,836157
2025-05-13,58.83,58.93,58.17,58.36,668467
2025-05-14,58.36,58.64,57.98,58.27,657223
2025-05-15,58.27,58.45,57.8,58.36,670110
2025-05-16,58.36,58.36,57.8,58.17,298990
2025-05-19,57.23,57.61,57.14,57.14,585495
2025-05-20,57.23,57.23,56.48,56.95,606057
2025-05-21,56.95,57.33,56.67,56.76,315994
2025-05-22,56.85,57.89,56.85,57.42,761684
2025-05-23,57.51,59.68,57.51,59.3,1314682
2025-05-26,59.4,59.77,57.89,59.3,633710
2025-05-27,59.77,60.15,59.21,59.96,780094
2025-05-28,60.24,60.9,60.24,60.34,1153927
2025-05-29,60.24,60.43,59.96,60.24,674253
2025-05-30,60.24,61.47,60.24,61.18,1363574
2025-06-02,60.9,61.75,60.34,61.66,724959
2025-06-03,61.66,62.03,61.47,61.94,745474
2025-06-04,61.94,61.94,60.9,61.0,741828
2025-06-05,61.0,61.0,59.77,60.05,807057
2025-06-06,60.05,60.05,59.11,59.3,873482
2025-06-09,59.4,60.05,59.11,59.58,554973
2025-06-10,59.58,59.87,59.02,59.21,428952
2025-06-11,59.3,59.58,58.74,58.93,490503
2025-06-12,59.77,59.77,58.93,59.11,480239
2025-06-13,60.62,62.13,59.96,60.62,3701324
2025-06-16,62.13,64.86,61.84,64.86,3185256
2025-06-17,65.51,65.8,64.2,65.23,2773875
2025-06-18,65.89,67.11,65.14,66.74,2667613
2025-06-19,66.74,68.06,65.99,67.59,2689421
2025-06-20,67.77,67.77,65.23,65.42,1745659
2025-06-23,69.28,69.28,67.4,68.34,2944181
2025-06-24,64.1,66.27,64.1,65.04,2635888
2025-06-25,64.76,64.86,63.54,63.54,1727482
2025-06-26,63.73,64.48,63.54,64.48,763083
2025-06-27,64.48,64.57,63.63,64.01,702702
2025-06-30,64.2,64.29,63.35,63.82,676141
2025-07-01,63.54,63.82,62.5,62.5,860628
2025-07-02,62.5,63.07,62.31,62.5,565194
2025-07-03,62.97,63.54,62.31,62.31,914152
2025-07-04,62.5,62.78,62.31,62.5,557316
2025-07-07,62.78,62.78,62.5,62.6,503042
2025-07-08,63.16,63.73,62.78,63.73,912247
2025-07-09,63.91,64.01,63.63,64.01,953313
2025-07-10,64.1,64.86,63.63,64.38,1139402
2025-07-11,64.1,64.48,63.63,63.91,688133
2025-07-14,64.48,64.57,63.91,64.2,771989
2025-07-15,64.2,64.48,63.73,63.73,802790
