date,open,high,low,close,volume
2024-12-03,22.37,22.5,22.17,22.5,15823157
2024-12-04,22.37,22.37,22.21,22.25,12517041
2024-12-05,22.25,23.21,22.0,23.21,44772623
2024-12-06,23.21,23.25,22.92,23.0,23768664
2024-12-09,23.04,23.25,22.92,23.04,15967778
2024-12-10,23.08,23.5,23.0,23.25,32715496
2024-12-11,23.25,23.46,23.0,23.12,17045103
2024-12-12,23.12,23.25,22.79,22.92,20976380
2024-12-13,22.75,22.83,22.58,22.67,17278081
2024-12-16,22.67,22.79,22.37,22.5,16666364
2024-12-17,22.5,22.58,22.37,22.5,10816933
2024-12-18,22.5,22.79,22.46,22.79,12801871
2024-12-19,22.5,22.62,22.33,22.37,30343905
2024-12-20,22.37,22.46,22.25,22.25,13753770
2024-12-23,22.29,22.54,22.29,22.5,12907390
2024-12-24,22.42,22.42,22.17,22.25,13471873
2024-12-25,22.29,22.62,22.29,22.62,17153771
2024-12-26,22.62,22.67,22.37,22.5,9982189
2024-12-27,22.5,22.5,22.33,22.37,11397592
2024-12-30,22.33,22.37,22.21,22.29,12176491
2024-12-31,22.29,22.29,22.17,22.21,10258083
2025-01-02,22.25,22.54,22.25,22.5,14970526
2025-01-03,22.42,22.5,22.17,22.17,13208512
2025-01-06,22.17,22.25,21.71,21.71,15267581
2025-01-07,21.79,22.0,21.71,21.71,14414801
2025-01-08,21.71,21.87,21.62,21.87,12963197
2025-01-09,21.92,21.92,21.58,21.67,9252679
2025-01-10,21.67,21.75,21.29,21.29,14290074
2025-01-13,21.29,21.71,21.21,21.58,13586454
2025-01-14,21.62,21.67,21.5,21.54,7670367
2025-01-15,21.67,21.87,21.58,21.83,11228889
2025-01-16,21.92,22.04,21.71,21.92,11215124
2025-01-17,21.92,22.08,21.75,22.08,13956621
2025-01-20,22.08,22.29,22.04,22.04,9665010
2025-01-21,22.17,22.17,21.83,21.92,10429273
2025-01-22,22.0,22.0,21.79,21.79,10285189
2025-01-23,21.83,22.29,21.79,22.21,15800444
2025-01-24,22.21,22.21,22.04,22.12,10409008
2025-02-03,22.08,22.17,21.87,22.0,16987354
2025-02-04,22.08,22.5,22.04,22.37,17370750
2025-02-05,22.37,22.5,22.29,22.33,14477772
2025-02-06,22.33,22.46,22.29,22.33,13545529
2025-02-07,22.33,22.33,22.17,22.21,12556995
2025-02-10,22.08,22.08,21.17,21.17,61143342
2025-02-11,21.21,21.75,21.21,21.75,28914141
2025-02-12,21.83,21.83,21.54,21.54,13674965
2025-02-13,21.62,21.67,21.54,21.58,9507535
2025-02-14,21.75,21.92,21.67,21.75,18592795
2025-02-17,21.79,21.87,21.71,21.79,14380031
2025-02-18,21.96,22.17,21.92,22.12,24951942
2025-02-19,22.17,22.17,22.0,22.08,13664314
2025-02-20,22.12,22.17,22.08,22.12,11920169
2025-02-21,22.12,22.17,22.0,22.04,11076712
2025-02-24,23.58,23.58,22.96,23.08,73928603
2025-02-25,23.0,23.08,22.67,22.92,31597535
2025-02-26,23.0,23.29,22.96,23.12,31840327
2025-02-27,23.17,23.71,23.0,23.71,51151649
2025-02-28,23.67,23.67,23.29,23.33,24230428
2025-03-03,23.37,23.54,23.33,23.37,20678579
2025-03-04,23.37,23.37,23.04,23.21,27441800
2025-03-05,23.21,23.25,22.96,22.96,30401582
2025-03-06,23.0,23.29,23.0,23.29,36989136
2025-03-07,23.33,23.42,23.12,23.37,33148420
2025-03-10,23.42,23.5,23.29,23.29,23601359
2025-03-11,23.0,23.46,23.0,23.46,26105585
2025-03-12,23.5,23.5,23.17,23.17,20664501
2025-03-13,23.21,23.37,23.08,23.08,24826490
2025-03-14,23.08,23.21,22.96,22.96,18298151
2025-03-17,23.25,23.46,23.12,23.21,19738337
2025-03-18,23.25,23.37,23.0,23.0,18761045
2025-03-19,23.0,23.0,22.58,22.71,37953539
2025-03-20,22.75,22.87,22.54,22.62,25038597
2025-03-21,22.58,22.71,22.54,22.62,18921643
2025-03-24,22.62,22.71,22.42,22.62,16247689
2025-03-25,22.71,22.83,22.58,22.67,20115102
2025-03-26,22.67,23.29,22.62,22.96,43997569
2025-03-27,23.08,23.08,22.87,22.92,12023359
2025-03-28,22.87,22.92,22.58,22.62,17090800
2025-03-31,22.54,22.58,22.29,22.29,26565641
2025-04-01,22.33,22.54,22.29,22.5,14037535
2025-04-02,22.62,22.83,22.58,22.71,16797845
2025-04-03,21.5,22.04,21.12,21.12,80792245
2025-04-04,19.67,20.71,19.67,20.5,73222029
2025-04-08,19.58,20.0,19.08,19.08,35517471
2025-04-09,17.75,18.58,17.75,17.75,77212228
2025-04-10,18.96,18.96,18.96,18.96,3066909
2025-04-11,20.17,20.25,19.58,20.25,76305239
2025-04-14,20.67,21.46,20.62,21.12,51254525
2025-04-15,20.96,21.79,20.87,21.54,50611194
2025-04-16,21.58,21.67,20.87,21.25,25738379
2025-04-17,21.0,21.33,20.67,21.25,24465980
2025-04-18,21.37,21.46,21.21,21.21,20785143
2025-04-21,21.21,21.21,20.79,20.79,17327776
2025-04-22,20.67,20.92,19.5,20.87,47493704
2025-04-23,21.25,21.42,21.12,21.29,22246788
2025-04-24,21.42,21.42,21.0,21.33,17227712
2025-04-25,21.21,21.42,21.04,21.42,24864961
2025-04-28,21.42,21.42,21.12,21.37,9768183
2025-04-29,21.37,21.42,21.17,21.25,14478374
2025-05-05,21.37,21.46,21.12,21.42,12563050
2025-05-06,21.46,21.71,21.21,21.21,20963206
2025-05-07,21.12,21.25,21.12,21.17,11518736
2025-05-08,21.17,21.54,21.08,21.42,19907154
2025-05-09,21.42,21.46,21.25,21.37,11024723
2025-05-12,21.29,21.46,20.62,21.17,64778664
2025-05-13,21.33,21.67,21.33,21.5,20324199
2025-05-14,21.58,22.12,21.54,21.79,34103088
2025-05-15,21.83,21.83,21.54,21.79,22639684
2025-05-16,21.79,21.83,21.5,21.5,16827367
2025-05-19,21.46,21.62,21.29,21.37,15012607
2025-05-20,21.33,21.5,21.33,21.37,17464910
2025-05-21,21.46,21.75,21.37,21.46,20165788
2025-05-22,21.46,21.62,21.29,21.37,24383807
2025-05-23,21.46,21.54,21.29,21.33,11111572
2025-05-26,21.37,21.37,20.87,21.29,27453941
2025-05-27,21.29,21.79,21.29,21.29,26913678
2025-05-28,21.46,21.58,21.29,21.33,15622229
2025-05-29,21.42,21.5,21.25,21.29,16448281
2025-05-30,21.37,22.21,21.37,21.46,65014524
2025-06-02,21.33,21.37,21.12,21.29,21950524
2025-06-03,21.5,21.83,21.46,21.67,31062339
2025-06-04,21.75,22.0,21.62,21.62,25708828
2025-06-05,21.67,21.71,21.42,21.46,18808450
2025-06-06,21.71,22.08,21.58,21.71,42269983
2025-06-09,21.75,22.0,21.62,21.92,25004908
2025-06-10,22.08,22.37,21.83,21.83,29436635
2025-06-11,21.92,21.96,21.67,21.75,16564351
2025-06-12,21.79,22.58,21.79,22.33,52244579
2025-06-13,22.17,22.29,21.92,22.0,38795445
2025-06-16,21.96,22.5,21.96,22.29,29753708
2025-06-17,22.42,22.58,22.29,22.37,26645247
2025-06-18,22.42,22.67,22.33,22.62,31488496
2025-06-19,22.62,22.67,22.33,22.42,23431044
2025-06-20,22.5,22.58,22.37,22.5,23434378
2025-06-23,22.37,22.5,22.17,22.37,22214192
2025-06-24,22.54,22.67,22.46,22.5,27891516
2025-06-25,22.58,22.87,22.46,22.67,38667411
2025-06-26,23.05,23.15,22.75,22.8,38436669
2025-06-27,22.95,22.95,22.75,22.85,16501158
2025-06-30,22.9,22.95,22.7,22.7,19930857
2025-07-01,22.75,22.9,22.6,22.65,19796627
2025-07-02,22.65,22.9,22.55,22.9,18923070
2025-07-03,23.0,23.65,23.0,23.1,42563897
2025-07-04,23.15,23.25,23.1,23.25,19418237
2025-07-07,23.7,23.7,23.4,23.6,36030224
2025-07-08,23.65,24.8,23.55,24.7,77535019
2025-07-09,24.8,25.1,24.6,24.75,43462900
2025-07-10,24.85,25.2,24.55,25.15,85282300
2025-07-11,25.25,26.25,25.05,26.0,65285300
2025-07-14,26.2,26.45,25.55,25.75,49438500
2025-07-15,25.8,26.0,25.5,25.5,46507000
2025-07-16,25.45,26.2,25.4,26.1,45893600
2025-07-17,26.2,26.35,25.9,26.0,56229600
2025-07-18,26.0,26.1,25.75,25.9,40723400
2025-07-21,26.4,27.0,26.1,26.2,55773600
2025-07-22,26.15,26.45,26.0,26.45,31504400
2025-07-23,26.55,26.95,26.4,26.4,43124000
2025-07-24,26.4,26.45,25.9,26.0,51907400
2025-07-25,26.0,26.3,25.9,26.05,51078400
2025-07-28,26.1,26.85,26.0,26.35,99592800
2025-07-29,26.45,26.6,25.35,25.35,82604800
2025-07-30,25.6,25.75,25.1,25.4,50186000
2025-07-31,25.45,25.6,24.75,24.95,85332500
2025-08-01,24.85,25.3,24.8,25.15,50798600
2025-08-04,25.1,25.45,24.95,25.3,37058100
2025-08-05,25.45,27.05,25.45,26.4,215999100
2025-08-06,26.75,27.7,26.65,27.1,96174200
2025-08-07,27.35,28.55,27.0,28.5,139119300
2025-08-08,28.6,28.65,27.6,28.0,121062500
2025-08-11,28.15,28.45,27.8,28.15,67223000
2025-08-12,28.35,29.1,28.15,28.5,84195900
2025-08-13,28.55,28.6,27.85,28.1,79765000
2025-08-14,28.2,28.45,28.0,28.2,76049900
2025-08-15,28.45,28.8,27.85,28.0,107927600
2025-08-18,28.3,28.8,28.2,28.4,69044400
2025-08-19,28.6,28.7,28.1,28.15,63021900
2025-08-20,28.2,28.25,27.05,27.4,101007400
2025-08-21,27.45,27.8,27.3,27.4,69981700
2025-08-22,26.95,27.1,26.0,26.0,132314200
2025-08-25,26.5,26.75,25.85,25.95,68320100
2025-08-26,26.1,27.2,26.1,27.2,51986200
2025-08-27,27.25,27.25,26.75,26.75,85992500
2025-08-28,26.95,27.5,26.85,27.1,63166300
2025-08-29,27.2,27.85,27.05,27.5,81735200
2025-09-03,27.4,29.0,27.25,28.15,119138500
2025-09-04,28.45,29.9,28.35,29.85,141435100
2025-09-05,30.0,30.1,28.8,28.8,95256400
2025-09-08,28.7,29.75,28.65,28.9,141768400
2025-09-09,29.2,29.25,28.2,28.85,73861200
2025-09-10,28.85,29.2,28.4,28.85,52455800
2025-09-11,28.7,29.2,28.0,29.15,71781900
2025-09-12,29.2,30.1,29.15,30.0,104621000
2025-09-15,30.25,30.85,30.1,30.35,88920500
2025-09-16,30.55,30.55,29.75,29.95,66855600
2025-09-17,29.9,30.25,29.2,29.2,124424600
2025-09-18,29.35,29.4,28.6,29.15,75687000
2025-09-19,29.3,29.4,28.8,29.25,45024800
2025-09-22,29.25,29.25,28.3,28.4,66073800
2025-09-23,28.55,28.85,28.45,28.65,24900000
2025-09-24,28.65,29.05,28.25,29.05,30738900
2025-09-25,29.15,29.3,28.75,28.8,34435400
2025-09-26,28.85,29.2,28.55,28.55,38128900
2025-09-29,28.55,28.9,28.4,28.6,38831200
2025-09-30,28.55,28.6,27.9,28.15,53737200
2025-10-01,28.3,28.5,28.1,28.3,29848500
2025-10-02,28.35,28.65,28.05,28.1,30165900
2025-10-03,28.1,28.1,27.35,27.65,58123500
2025-10-06,28.1,29.2,28.1,29.2,71269500
2025-10-07,29.2,29.35,29.0,29.0,41398600
2025-10-08,29.25,29.4,28.75,29.2,59953000
2025-10-09,29.4,29.4,28.85,28.95,42551700
2025-10-10,29.0,29.75,28.9,29.6,62702300
2025-10-13,29.05,29.25,28.85,29.0,80237700
2025-10-14,29.05,29.25,28.3,28.35,84307900
2025-10-15,28.4,28.7,28.2,28.25,34623200
2025-10-16,28.25,28.8,28.0,28.25,44715300
2025-10-17,28.3,28.65,28.0,28.0,46508200
