date,open,high,low,close,volume
2024-12-03,29.64,29.91,29.64,29.91,1384524
2024-12-04,29.91,29.95,29.68,29.86,1505706
2024-12-05,29.86,30.77,29.77,30.27,3815503
2024-12-06,30.41,30.73,30.36,30.73,2271855
2024-12-09,30.64,31.45,30.64,31.27,4058018
2024-12-10,31.27,31.36,31.14,31.36,2358226
2024-12-11,31.64,31.64,31.14,31.36,2366160
2024-12-12,31.36,31.41,31.14,31.41,1836960
2024-12-13,31.18,31.32,31.0,31.32,1409666
2024-12-16,31.32,31.64,31.23,31.45,2003202
2024-12-17,31.45,32.09,31.45,31.82,4373546
2024-12-18,32.05,32.05,31.59,31.82,1959860
2024-12-19,31.45,32.36,31.36,32.36,4803130
2024-12-20,32.32,32.68,32.23,32.59,5116280
2024-12-23,32.64,32.68,32.32,32.64,1913244
2024-12-24,32.59,32.68,31.95,32.68,2560997
2024-12-25,32.68,32.68,32.14,32.64,2260796
2024-12-26,32.41,32.64,32.27,32.59,2450863
2024-12-27,32.64,32.64,32.32,32.55,2506798
2024-12-30,32.36,32.86,32.27,32.86,2777892
2024-12-31,32.91,32.91,32.14,32.82,2589914
2025-01-02,32.36,32.55,31.59,31.95,2537281
2025-01-03,31.77,31.91,31.55,31.64,1608301
2025-01-06,31.5,32.0,31.5,31.64,1640037
2025-01-07,31.45,31.73,30.77,30.77,2149147
2025-01-08,30.91,30.91,30.45,30.73,1753692
2025-01-09,30.86,31.14,30.77,30.86,723122
2025-01-10,30.77,31.14,30.77,30.91,918961
2025-01-13,30.86,31.45,30.5,31.32,1273420
2025-01-14,31.18,31.36,30.91,31.05,832078
2025-01-15,31.23,31.41,31.05,31.09,1117181
2025-01-16,30.95,31.32,30.68,31.23,1847518
2025-01-17,31.0,31.32,30.91,31.27,1152956
2025-01-20,31.27,31.41,31.18,31.41,963692
2025-01-21,31.41,31.41,31.09,31.27,619781
2025-01-22,31.27,31.27,30.95,31.18,911835
2025-01-23,31.32,31.41,31.05,31.41,1473611
2025-01-24,31.55,31.59,31.32,31.59,1954992
2025-02-03,31.36,31.41,31.14,31.41,1247840
2025-02-04,31.41,31.59,31.23,31.59,1986620
2025-02-05,31.64,32.05,31.64,31.68,2721929
2025-02-06,31.68,31.73,31.09,31.45,2191572
2025-02-07,31.45,31.45,31.05,31.41,1670011
2025-02-10,31.18,31.41,30.91,30.91,1731289
2025-02-11,30.91,31.05,30.68,31.05,1802685
2025-02-12,31.18,31.18,30.68,30.91,1506848
2025-02-13,30.91,30.91,30.27,30.73,2487286
2025-02-14,30.73,30.91,30.59,30.77,1068262
2025-02-17,30.77,30.91,30.59,30.77,1003165
2025-02-18,30.77,31.0,30.68,30.77,845525
2025-02-19,30.82,31.09,30.64,31.09,1992147
2025-02-20,31.18,31.32,30.91,31.09,2725062
2025-02-21,31.09,31.09,30.55,30.59,3109553
2025-02-24,30.59,30.64,30.36,30.59,1299110
2025-02-25,30.73,30.82,30.32,30.32,2463433
2025-02-26,30.32,30.45,30.0,30.18,2662804
2025-02-27,30.23,30.45,30.09,30.45,1788025
2025-02-28,30.55,30.77,30.36,30.45,1943841
2025-03-03,30.5,30.77,30.45,30.55,1578142
2025-03-04,30.55,30.91,30.45,30.68,2162079
2025-03-05,30.73,30.91,30.45,30.45,2223177
2025-03-06,30.55,30.59,30.23,30.5,1648457
2025-03-07,30.55,31.09,30.5,30.5,3905513
2025-03-10,30.77,30.77,30.09,30.14,3243406
2025-03-11,30.05,30.23,29.45,29.86,4330508
2025-03-12,30.0,30.0,28.95,29.45,5393540
2025-03-13,29.09,29.41,29.09,29.41,2274252
2025-03-14,29.18,29.73,29.05,29.23,3043010
2025-03-17,29.45,30.18,29.09,30.18,4359127
2025-03-18,30.32,30.32,29.64,29.64,3020187
2025-03-19,29.59,29.64,29.09,29.64,3088988
2025-03-20,29.77,29.77,29.0,29.45,3147199
2025-03-21,29.18,29.5,29.18,29.45,2157506
2025-03-24,29.36,29.64,29.05,29.64,1756483
2025-03-25,29.73,29.82,29.36,29.77,2969097
2025-03-26,29.77,29.82,29.09,29.09,3545088
2025-03-27,29.27,29.64,29.27,29.5,1818865
2025-03-28,29.59,29.59,29.36,29.59,2143464
2025-03-31,29.55,30.0,29.36,29.64,4337044
2025-04-01,29.73,29.77,28.95,29.64,4843735
2025-04-02,29.59,29.59,29.05,29.05,3627291
2025-04-03,27.36,28.27,27.05,27.05,3717049
2025-04-04,25.18,25.91,25.18,25.45,9816280
2025-04-08,23.73,23.91,23.68,23.68,1712113
2025-04-09,22.05,22.05,22.05,22.05,1114291
2025-04-10,23.55,23.55,23.55,23.55,4335110
2025-04-11,23.5,25.18,22.09,25.0,8117186
2025-04-14,25.0,25.5,24.0,25.27,5243040
2025-04-15,24.73,24.95,24.14,24.59,3749388
2025-04-16,24.55,24.55,23.82,24.36,3385558
