date,open,high,low,close,volume
2024-12-03,15.76,15.8,15.63,15.63,6582040
2024-12-04,15.6,15.67,15.53,15.57,6140161
2024-12-05,15.57,16.06,15.53,16.02,10565198
2024-12-06,16.06,16.06,15.89,15.89,6124512
2024-12-09,15.93,16.02,15.83,15.93,5853593
2024-12-10,15.93,15.99,15.83,15.83,5014521
2024-12-11,15.83,15.93,15.73,15.86,5628536
2024-12-12,15.93,16.02,15.86,15.86,5753660
2024-12-13,15.83,15.89,15.8,15.83,4399601
2024-12-16,15.83,15.89,15.67,15.73,5696522
2024-12-17,15.7,15.8,15.7,15.76,3871597
2024-12-18,15.76,15.8,15.7,15.8,3782528
2024-12-19,15.53,15.7,15.53,15.57,10461770
2024-12-20,15.57,15.67,15.53,15.67,4127031
2024-12-23,15.67,15.76,15.67,15.7,3295172
2024-12-24,15.7,15.7,15.57,15.6,3483647
2024-12-25,15.63,16.19,15.63,15.96,14826477
2024-12-26,15.99,16.25,15.96,16.25,19914942
2024-12-27,16.35,16.51,16.32,16.35,16712626
2024-12-30,16.42,16.42,16.19,16.19,11072609
2024-12-31,16.19,16.38,16.19,16.38,11247718
2025-01-02,16.42,16.61,16.35,16.45,12444481
2025-01-03,16.45,16.45,16.12,16.12,11046882
2025-01-06,16.12,16.25,15.93,15.93,14565302
2025-01-07,16.29,16.29,15.91,16.25,11823684
2025-01-08,16.1,16.29,16.1,16.21,6544011
2025-01-09,16.21,16.29,16.1,16.14,4376913
2025-01-10,16.1,16.14,15.88,15.88,8697452
2025-01-13,15.88,16.14,15.73,16.14,7881659
2025-01-14,16.06,16.14,15.88,15.99,5746837
2025-01-15,16.1,16.14,15.99,16.03,4732416
2025-01-16,16.14,16.21,16.03,16.06,7336121
2025-01-17,16.14,16.14,16.03,16.14,4488697
2025-01-20,16.14,16.48,16.14,16.4,8246093
2025-01-21,16.48,16.55,16.33,16.4,6777334
2025-01-22,16.48,16.48,16.33,16.36,5967724
2025-01-23,16.44,16.7,16.36,16.66,13744416
2025-01-24,16.55,16.85,16.55,16.81,9806966
2025-02-03,16.55,16.7,16.48,16.55,9099901
2025-02-04,16.66,16.96,16.59,16.85,11068699
2025-02-05,16.89,16.93,16.74,16.89,7241696
2025-02-06,16.93,17.23,16.93,16.96,10769005
2025-02-07,17.04,17.26,16.81,17.08,14206471
2025-02-10,17.04,17.45,16.85,17.19,19351720
2025-02-11,17.26,17.26,17.15,17.26,7751017
2025-02-12,17.26,17.3,17.04,17.04,7197211
2025-02-13,17.15,17.19,16.96,17.19,7467453
2025-02-14,17.26,17.26,17.11,17.15,8170037
2025-02-17,17.19,17.19,16.96,17.0,8692024
2025-02-18,17.0,17.23,16.96,17.04,10092404
2025-02-19,17.11,17.23,17.04,17.15,9174601
2025-02-20,17.26,17.26,17.15,17.15,10841071
2025-02-21,17.19,17.38,17.11,17.19,20527352
2025-02-24,17.11,17.3,17.11,17.26,13470672
2025-02-25,17.3,17.68,17.3,17.56,37713106
2025-02-26,17.64,17.68,17.41,17.41,8389715
2025-02-27,17.41,17.45,17.23,17.41,12783117
2025-02-28,17.34,17.38,17.23,17.26,11063144
2025-03-03,17.26,17.34,17.23,17.34,9204982
2025-03-04,17.3,17.71,17.15,17.56,21382284
2025-03-05,17.56,18.09,17.49,17.68,30419522
2025-03-06,17.79,18.09,17.64,18.09,25984439
2025-03-07,18.2,18.69,18.09,18.39,47494760
2025-03-10,18.58,18.69,18.35,18.39,19452741
2025-03-11,18.16,18.61,18.13,18.61,26561696
2025-03-12,18.69,18.76,18.46,18.46,30983327
2025-03-13,18.5,18.54,18.16,18.24,23089053
2025-03-14,18.2,18.35,18.13,18.24,19743519
2025-03-17,18.31,18.35,18.09,18.24,25621471
2025-03-18,18.31,18.31,17.94,17.94,26639648
2025-03-19,17.94,18.01,17.79,17.9,20405442
2025-03-20,18.01,18.28,17.94,18.2,21162940
2025-03-21,18.24,18.39,18.16,18.24,15582503
2025-03-24,18.24,18.31,17.98,18.31,15587493
2025-03-25,18.39,18.43,18.13,18.16,12754653
2025-03-26,18.13,18.31,18.01,18.01,18290894
2025-03-27,18.01,18.09,17.94,17.94,12437482
2025-03-28,18.01,18.09,17.86,17.94,13049805
2025-03-31,17.9,18.09,17.86,18.09,18711988
2025-04-01,18.13,18.46,18.01,18.46,13935130
2025-04-02,18.46,18.5,18.28,18.28,9801690
2025-04-03,17.71,17.79,17.0,17.0,86335776
2025-04-04,15.84,16.85,15.84,16.85,73160211
2025-04-08,15.88,16.44,15.69,15.69,64574243
2025-04-09,14.6,16.06,14.6,15.5,61271116
2025-04-10,16.55,16.55,16.55,16.55,1693323
2025-04-11,16.89,17.64,16.81,17.6,79003454
2025-04-14,17.64,17.68,17.38,17.6,31710001
2025-04-15,17.26,17.56,17.19,17.26,29539120
2025-04-16,17.26,17.45,17.08,17.19,21920588
2025-04-17,17.04,17.26,16.96,17.26,21587763
2025-04-18,17.34,17.6,17.3,17.45,31582609
2025-04-21,17.64,17.64,17.11,17.23,37166230
2025-04-22,17.15,17.38,16.18,17.34,45406456
2025-04-23,17.6,17.79,17.34,17.56,33877753
2025-04-24,17.56,17.56,17.3,17.45,18113804
2025-04-25,17.64,17.83,17.49,17.68,40730810
2025-04-28,17.86,17.9,17.68,17.79,23087071
2025-04-29,17.79,17.83,17.68,17.68,13189568
2025-05-05,17.79,17.83,17.6,17.68,18872745
2025-05-06,17.71,17.79,17.64,17.68,22810175
2025-05-07,17.68,17.71,17.41,17.45,21918418
2025-05-08,17.49,17.71,17.41,17.68,21032695
