date,open,high,low,close,volume
2024-12-03,11.0,11.05,10.7,10.7,6764100
2024-12-04,10.7,10.8,10.5,10.5,10323300
2024-12-05,10.5,11.0,10.5,10.85,8026100
2024-12-06,10.9,10.95,10.65,10.65,5586100
2024-12-09,10.65,10.8,10.6,10.7,6564700
2024-12-10,10.7,10.85,10.6,10.6,5171800
2024-12-11,10.65,10.7,10.5,10.55,4483500
2024-12-12,10.55,10.65,10.5,10.5,3040800
2024-12-13,10.5,10.55,10.45,10.45,3823700
2024-12-16,10.5,10.55,10.4,10.4,2565300
2024-12-17,10.45,10.55,10.45,10.45,2397500
2024-12-18,10.45,10.6,10.45,10.55,4016000
2024-12-19,10.5,10.6,10.45,10.45,7306900
2024-12-20,10.5,10.55,10.1,10.1,12855800
2024-12-23,10.35,10.6,10.3,10.5,7499400
2024-12-24,10.5,10.55,10.25,10.3,5726000
2024-12-25,10.35,10.55,10.3,10.4,4743800
2024-12-26,10.4,10.55,10.4,10.4,3937900
2024-12-27,10.4,10.45,10.2,10.2,6286000
2024-12-30,10.55,10.55,10.25,10.3,6297500
2024-12-31,10.3,10.35,10.25,10.25,2736400
2025-01-02,10.35,10.5,10.3,10.4,4546700
2025-01-03,10.4,10.8,10.4,10.55,11644700
2025-01-06,10.6,10.6,10.3,10.4,5014600
2025-01-07,10.45,10.45,10.2,10.25,6094600
2025-01-08,10.25,10.45,10.2,10.4,4147900
2025-01-09,10.35,10.45,10.25,10.25,1882200
2025-01-10,10.25,10.3,9.92,9.92,8716100
2025-01-13,9.93,9.99,9.4,9.49,11653300
2025-01-14,9.5,9.54,8.95,8.95,16250500
2025-01-15,9.2,9.43,9.19,9.2,7057800
2025-01-16,9.2,9.4,9.15,9.17,5765700
2025-01-17,9.21,9.33,9.15,9.28,4783400
2025-01-20,9.24,9.24,9.01,9.05,5565800
2025-01-21,9.12,9.14,9.04,9.04,3243400
2025-01-22,9.05,9.1,8.68,8.68,11436700
2025-01-23,8.69,8.85,8.68,8.73,6081600
2025-01-24,8.88,9.03,8.81,8.93,7005700
2025-02-03,8.93,9.01,8.88,8.9,4450100
2025-02-04,8.93,9.42,8.93,9.39,7416200
2025-02-05,9.44,9.58,9.4,9.4,7236700
2025-02-06,9.42,9.48,9.32,9.39,4160500
2025-02-07,9.44,9.64,9.4,9.45,5146300
2025-02-10,9.45,9.45,9.23,9.23,5626200
2025-02-11,9.24,9.37,9.15,9.2,3873300
2025-02-12,9.22,9.26,9.16,9.16,3500600
2025-02-13,9.16,9.18,9.01,9.02,7383400
2025-02-14,9.09,9.34,9.06,9.25,5904100
2025-02-17,9.26,9.33,9.18,9.21,4989700
2025-02-18,9.19,9.49,9.19,9.35,8825300
2025-02-19,9.47,9.47,9.35,9.45,7823500
2025-02-20,9.5,10.1,9.48,10.1,26431300
2025-02-21,10.4,10.4,10.05,10.15,13571900
2025-02-24,10.25,10.3,9.93,10.0,12177600
2025-02-25,10.1,10.15,9.88,9.95,10816200
2025-02-26,10.0,10.05,9.9,9.9,5900000
2025-02-27,10.0,10.2,9.98,10.1,10642200
2025-02-28,10.3,10.8,10.25,10.6,20444900
2025-03-03,10.5,10.75,10.35,10.4,12999200
2025-03-04,10.4,10.5,10.2,10.3,12149300
2025-03-05,10.3,10.45,10.2,10.2,7403900
2025-03-06,10.25,10.4,10.15,10.35,8678300
2025-03-07,10.4,10.75,10.4,10.5,11450400
2025-03-10,10.65,10.7,10.4,10.4,7065100
2025-03-11,10.3,10.65,10.2,10.55,11005800
2025-03-12,10.55,10.65,10.45,10.5,5583800
2025-03-13,10.5,10.8,10.4,10.4,11926900
2025-03-14,10.45,11.1,10.35,11.1,40147900
2025-03-17,11.3,11.3,11.05,11.15,13570200
2025-03-18,11.05,11.15,10.8,10.95,19036400
2025-03-19,10.8,10.9,10.7,10.8,11757100
2025-03-20,10.85,10.9,10.75,10.85,7517800
2025-03-21,10.95,11.0,10.75,10.75,7022700
2025-03-24,10.75,10.75,10.15,10.3,19704000
2025-03-25,10.4,10.45,10.3,10.35,6623000
2025-03-26,10.4,10.55,10.25,10.25,5559300
