date,open,high,low,close,volume
2024-12-03,91.03,91.22,90.64,90.64,347632
2024-12-04,90.74,91.32,90.55,91.22,655259
2024-12-05,91.42,93.65,91.42,92.97,1301746
2024-12-06,93.35,93.45,92.68,93.35,726236
2024-12-09,93.65,94.32,93.55,93.74,920739
2024-12-10,93.94,94.52,93.26,93.94,741282
2024-12-11,93.65,93.94,93.16,93.74,1068472
2024-12-12,93.74,95.0,93.16,93.74,1427497
2024-12-13,93.94,94.03,93.55,93.94,645797
2024-12-16,94.42,95.97,94.42,95.1,1233393
2024-12-17,94.9,95.0,94.42,94.71,249179
2024-12-18,94.52,94.71,93.94,94.42,334522
2024-12-19,93.55,94.32,93.35,94.32,602202
2024-12-20,94.13,94.32,93.74,93.94,181340
2024-12-23,93.94,94.71,93.84,94.23,344801
2024-12-24,94.23,94.23,92.97,94.13,508759
2024-12-25,94.42,94.81,93.94,94.52,506724
2024-12-26,94.81,94.9,94.03,94.42,415523
2024-12-27,94.52,94.52,93.94,94.52,414274
2024-12-30,94.42,95.39,94.13,94.42,807591
2024-12-31,94.42,94.81,94.42,94.81,495628
2025-01-02,94.9,94.9,94.42,94.81,357487
2025-01-03,94.42,94.81,93.16,93.55,456442
2025-01-06,93.84,93.84,93.06,93.74,448964
2025-01-07,93.16,93.55,91.61,91.61,683861
2025-01-08,91.61,93.55,91.32,92.97,286411
2025-01-09,92.97,92.97,92.1,92.1,166577
2025-01-10,92.48,92.48,90.84,90.84,309166
2025-01-13,90.74,91.9,90.55,91.42,364065
2025-01-14,92.58,92.58,91.42,92.39,415145
2025-01-15,92.0,92.77,90.64,91.32,415032
2025-01-16,91.13,92.68,91.13,92.0,340619
2025-01-17,92.48,92.48,91.9,92.19,96595
2025-01-20,92.68,93.06,92.19,93.06,347684
2025-01-21,93.26,93.26,91.03,92.58,135215
2025-01-22,92.87,92.97,92.58,92.77,235743
2025-01-23,93.74,94.03,93.16,94.03,561313
2025-01-24,94.23,94.9,94.13,94.52,461741
2025-02-03,94.81,95.49,94.52,95.0,488289
2025-02-04,95.19,95.39,94.81,95.1,449792
2025-02-05,95.0,95.19,94.81,95.1,392818
2025-02-06,95.29,96.84,95.19,96.45,1463353
2025-02-07,95.68,96.36,94.71,95.19,559729
2025-02-10,95.0,95.0,92.56,92.76,639192
2025-02-11,92.86,93.44,92.08,92.08,291187
2025-02-12,92.66,93.05,92.17,92.56,172552
2025-02-13,93.05,93.15,92.17,92.56,230923
2025-02-14,93.54,93.73,92.56,93.15,235608
2025-02-17,92.76,93.05,91.49,92.95,552128
2025-02-18,92.76,92.76,91.2,91.2,706299
2025-02-19,91.2,92.56,91.2,92.56,323274
2025-02-20,92.37,92.47,91.59,91.69,345866
2025-02-21,91.69,92.47,91.69,91.88,246835
2025-02-24,92.08,92.66,91.98,92.17,196690
2025-02-25,92.47,93.34,92.27,93.05,372881
2025-02-26,93.05,93.15,92.37,93.15,623178
2025-02-27,93.25,93.34,92.27,92.27,245059
2025-02-28,92.27,92.37,91.1,91.59,578987
2025-03-03,91.59,92.27,91.39,91.69,226679
2025-03-04,91.69,92.17,91.49,91.78,259289
2025-03-05,91.59,91.88,90.62,90.62,694804
2025-03-06,92.17,92.17,91.1,91.3,281052
2025-03-07,91.1,91.78,90.71,91.49,353481
2025-03-10,91.49,91.49,90.91,90.91,319792
2025-03-11,91.0,91.0,90.42,91.0,280627
2025-03-12,91.0,91.0,88.67,88.67,1273948
2025-03-13,89.35,89.45,87.69,87.69,1108850
2025-03-14,87.79,88.67,84.77,85.16,1719577
2025-03-17,85.65,86.13,83.7,85.65,1143538
2025-03-18,85.65,86.72,85.65,85.94,450206
2025-03-19,86.43,87.5,85.84,85.94,472447
2025-03-20,87.3,87.98,86.23,87.5,865741
2025-03-21,87.5,87.5,86.52,87.3,231382
2025-03-24,87.59,87.59,86.04,86.23,269566
2025-03-25,86.23,86.33,84.77,85.55,667904
2025-03-26,85.55,86.04,84.38,84.38,562475
2025-03-27,84.38,84.57,82.72,82.72,1252427
2025-03-28,82.72,82.82,79.9,79.9,3243991
2025-03-31,79.9,81.16,79.9,81.16,1004578
2025-04-01,81.16,81.55,80.48,81.26,414025
2025-04-02,81.36,82.14,80.38,80.38,729746
2025-04-03,77.95,79.02,74.83,74.83,2640573
2025-04-04,69.67,71.13,69.67,70.64,4124493
2025-04-08,67.72,69.37,65.77,65.77,1428908
2025-04-09,61.19,64.89,61.19,61.19,3797310
2025-04-10,65.38,65.38,65.38,65.38,60105
2025-04-11,69.86,69.86,69.47,69.86,3661566
2025-04-14,72.0,73.86,71.13,71.81,1879069
2025-04-15,71.42,71.52,68.2,69.67,1942800
2025-04-16,69.37,69.37,66.45,66.84,1791640
2025-04-17,66.35,68.2,65.96,68.01,1647629
2025-04-18,68.69,71.03,68.5,70.64,1096560
2025-04-21,70.64,71.62,67.72,67.72,1130983
2025-04-22,67.72,67.82,63.04,65.38,2462527
2025-04-23,67.23,67.91,66.26,67.04,1322064
2025-04-24,67.23,69.57,67.23,69.18,1225684
2025-04-25,69.57,69.57,67.82,68.3,1509330
2025-04-28,68.3,69.18,68.2,68.98,865798
2025-04-29,68.69,69.28,68.59,69.28,627388
2025-05-05,69.76,70.35,68.5,68.98,811463
2025-05-06,69.08,71.71,69.08,71.71,1837722
2025-05-07,71.32,71.42,70.45,70.93,1249887
2025-05-08,70.15,72.49,70.15,72.1,1630727
2025-05-09,72.3,74.54,72.3,74.44,2044572
2025-05-12,75.03,76.58,74.05,76.58,1468441
2025-05-13,77.46,81.94,77.46,80.09,4005798
2025-05-14,80.09,84.18,79.99,83.79,2684406
2025-05-15,84.77,84.77,81.85,82.24,1451930
2025-05-16,81.85,82.14,78.92,78.92,1439829
2025-05-19,78.83,80.97,77.85,79.51,961574
2025-05-20,79.8,80.48,78.92,80.19,1119140
2025-05-21,80.48,80.48,78.05,78.63,685054
2025-05-22,77.95,78.44,76.49,76.88,1054109
2025-05-23,76.97,77.95,76.0,76.97,662560
2025-05-26,77.95,78.44,76.0,78.44,746840
2025-05-27,78.92,78.92,77.95,78.24,540107
2025-05-28,78.73,78.83,76.88,77.27,774919
2025-05-29,82.53,82.53,80.48,81.85,2354140
2025-05-30,83.79,83.79,79.7,80.38,1055225
2025-06-02,75.03,77.56,75.03,76.19,3005255
2025-06-03,76.0,77.17,75.71,75.8,1643815
2025-06-04,76.39,76.88,75.71,76.88,1159270
2025-06-05,76.58,76.78,75.8,75.9,1003176
2025-06-06,75.9,75.9,73.76,73.76,1274033
2025-06-09,73.76,73.95,72.3,72.69,693810
2025-06-10,72.59,74.64,72.59,74.15,629013
2025-06-11,74.83,74.83,73.76,74.05,405958
2025-06-12,75.22,76.58,75.12,76.29,1067291
2025-06-13,76.0,77.36,75.22,76.0,913479
2025-06-16,76.0,80.38,75.8,79.9,1586787
2025-06-17,79.9,80.09,78.53,79.02,487862
2025-06-18,78.53,79.02,77.27,77.95,767485
2025-06-19,77.95,78.63,77.46,78.24,247016
2025-06-20,78.14,78.44,77.46,77.56,500992
2025-06-23,77.46,78.44,76.58,78.44,599815
2025-06-24,78.53,78.92,77.95,78.14,374723
2025-06-25,78.24,78.53,77.46,77.56,489126
2025-06-26,77.56,79.31,77.46,78.83,853253
