date,open,high,low,close,volume
2024-12-03,48.94,49.03,48.59,48.94,374807
2024-12-04,48.94,50.51,48.77,49.99,1382180
2024-12-05,50.16,50.51,49.55,50.07,677051
2024-12-06,50.25,50.94,49.9,50.25,1070661
2024-12-09,50.25,50.42,49.81,50.07,462824
2024-12-10,50.07,50.77,49.99,50.6,735884
2024-12-11,50.68,50.86,50.16,50.16,817854
2024-12-12,50.16,50.6,50.07,50.07,507667
2024-12-13,50.07,50.25,49.81,49.99,462050
2024-12-16,49.99,50.16,49.81,49.9,206963
2024-12-17,50.07,50.16,49.64,49.9,340000
2024-12-18,49.9,50.16,49.9,49.99,270169
2024-12-19,49.64,49.9,49.11,49.55,770702
2024-12-20,49.55,49.72,49.11,49.2,778955
2024-12-23,49.64,50.6,49.38,49.81,588678
2024-12-24,49.9,50.07,49.64,49.81,511338
2024-12-25,50.07,50.33,49.81,49.99,845934
2024-12-26,49.8,50.52,49.8,50.25,867303
2024-12-27,50.34,50.34,49.71,50.34,633109
2024-12-30,50.25,50.61,49.8,50.61,479261
2024-12-31,50.43,50.43,50.07,50.07,366340
2025-01-02,50.34,50.34,49.71,50.16,359447
2025-01-03,50.16,50.25,49.62,49.62,367540
2025-01-06,49.53,50.25,48.36,48.36,942417
2025-01-07,48.45,48.9,48.45,48.45,403696
2025-01-08,48.45,48.63,48.36,48.45,496812
2025-01-09,48.45,48.72,48.27,48.36,411589
2025-01-10,48.36,48.72,48.36,48.36,475785
2025-01-13,48.18,49.08,48.09,48.81,462553
2025-01-14,48.72,49.17,48.72,49.17,329356
2025-01-15,49.62,49.62,49.08,49.62,331944
2025-01-16,49.44,49.98,48.54,48.72,572692
2025-01-17,48.63,49.62,48.0,48.18,638356
2025-01-20,48.36,48.9,48.36,48.81,200734
2025-01-21,49.08,49.08,48.27,48.36,258460
2025-01-22,48.63,48.81,48.36,48.45,201578
2025-01-23,48.72,48.81,48.36,48.72,235547
2025-01-24,48.45,48.81,48.45,48.54,303212
2025-02-03,48.36,48.54,47.46,47.55,599809
2025-02-04,47.64,47.82,47.28,47.55,438773
2025-02-05,47.64,47.91,47.55,47.91,270329
2025-02-06,48.0,48.0,47.55,47.55,353492
2025-02-07,47.55,47.64,47.19,47.28,768918
2025-02-10,47.1,47.28,46.92,47.1,645306
2025-02-11,47.01,47.1,46.46,46.55,748820
2025-02-12,46.65,46.92,46.65,46.83,90829
2025-02-13,46.83,46.92,46.65,46.65,275121
2025-02-14,47.28,47.28,46.46,46.55,669129
2025-02-17,46.46,46.55,46.01,46.1,1116717
2025-02-18,46.1,46.46,46.01,46.19,489998
2025-02-19,46.19,46.37,46.1,46.28,871238
2025-02-20,46.46,46.55,46.28,46.37,580621
2025-02-21,46.55,47.1,46.37,46.74,752662
2025-02-24,46.74,47.28,46.74,47.28,714423
2025-02-25,48.27,48.27,47.01,47.28,484840
2025-02-26,47.37,47.37,46.92,47.1,648180
2025-02-27,47.1,47.19,46.74,47.1,457504
2025-02-28,46.92,47.19,46.46,46.46,929250
2025-03-03,46.92,46.92,46.46,46.65,580641
2025-03-04,46.65,47.01,46.46,46.92,736474
2025-03-05,46.92,47.01,46.55,46.74,480945
2025-03-06,46.74,46.83,46.28,46.37,1209978
2025-03-07,46.83,46.92,46.1,46.19,1426240
2025-03-10,46.46,46.65,46.01,46.37,1215216
2025-03-11,46.28,46.37,45.92,46.19,1573015
2025-03-12,46.01,46.46,46.01,46.1,1576565
2025-03-13,46.1,46.46,46.01,46.1,1125931
2025-03-14,46.28,47.28,46.19,46.55,1389247
2025-03-17,46.92,47.01,46.37,46.55,739736
2025-03-18,46.55,46.83,46.1,46.1,1621031
2025-03-19,46.28,46.28,45.83,45.83,2189365
2025-03-20,45.92,46.1,45.56,45.65,1385485
2025-03-21,45.83,45.83,45.38,45.38,1205632
2025-03-24,45.38,45.47,45.02,45.02,1550897
2025-03-25,45.2,45.29,44.71,44.71,1606302
2025-03-26,44.71,45.2,44.57,44.71,1264845
2025-03-27,44.71,44.84,44.62,44.71,988961
2025-03-28,44.75,44.84,44.39,44.48,1141601
2025-03-31,44.43,44.57,44.12,44.12,1126907
2025-04-01,44.25,44.75,44.07,44.52,957252
2025-04-02,44.57,44.62,44.3,44.48,630634
2025-04-03,43.58,43.58,41.37,41.37,3158944
2025-04-04,38.48,40.46,38.48,39.11,3851521
2025-04-08,39.11,40.19,38.25,38.43,3267737
2025-04-09,37.44,40.24,37.44,39.79,3153344
2025-04-10,42.54,42.54,42.49,42.54,598972
2025-04-11,43.31,44.75,42.54,44.21,4012370
2025-04-14,44.66,44.89,43.8,44.66,2475086
2025-04-15,44.25,44.3,43.13,43.94,2332871
2025-04-16,43.49,43.76,42.72,42.95,1344523
2025-04-17,42.68,42.86,42.36,42.4,1363877
2025-04-18,42.77,43.31,42.59,42.72,845618
2025-04-21,42.68,42.95,42.49,42.49,472772
2025-04-22,42.4,42.86,40.6,42.04,1205723
2025-04-23,43.13,43.85,42.77,43.85,1165003
2025-04-24,44.21,44.52,44.03,44.39,1698282
2025-04-25,44.39,44.66,44.12,44.66,1951895
2025-04-28,44.62,46.28,44.43,46.19,1968996
2025-04-29,45.83,45.83,43.4,43.4,4407144
2025-05-05,43.22,43.44,42.54,43.22,1251013
2025-05-06,43.71,43.71,43.08,43.17,790459
2025-05-07,43.35,43.67,43.31,43.35,767869
2025-05-08,43.4,43.98,43.4,43.8,859241
2025-05-09,44.84,44.84,44.07,44.21,940554
2025-05-12,44.39,44.66,44.21,44.62,1227578
2025-05-13,44.75,44.75,44.39,44.43,1007145
2025-05-14,44.3,44.8,44.3,44.66,1129231
2025-05-15,44.66,45.65,44.66,45.38,1280816
2025-05-16,45.38,45.74,45.29,45.56,700568
2025-05-19,45.29,45.29,44.75,44.84,754833
2025-05-20,44.66,45.02,44.62,44.93,584679
2025-05-21,44.93,45.07,44.66,44.75,577212
2025-05-22,44.75,44.84,44.57,44.8,794955
2025-05-23,44.8,44.84,44.48,44.62,397177
2025-05-26,45.02,45.02,43.94,44.62,716367
2025-05-27,44.89,44.89,44.57,44.62,591321
2025-05-28,44.75,44.84,44.43,44.62,598352
2025-05-29,44.66,44.93,44.43,44.43,773730
2025-05-30,44.43,44.48,43.94,43.98,1704102
2025-06-02,43.98,44.52,43.8,44.34,569970
2025-06-03,44.39,44.71,44.39,44.66,605168
2025-06-04,44.75,45.74,44.71,45.2,1485198
2025-06-05,45.11,45.29,44.66,44.66,994649
2025-06-06,44.66,44.89,44.25,44.25,755124
2025-06-09,44.25,44.57,44.07,44.07,924177
2025-06-10,44.43,44.43,44.03,44.07,844861
2025-06-11,44.12,44.3,44.07,44.21,347695
2025-06-12,44.3,44.75,44.3,44.62,631844
2025-06-13,44.57,44.57,44.12,44.3,963693
2025-06-16,44.21,44.84,44.21,44.71,977362
2025-06-17,44.75,45.83,44.71,45.07,1507277
2025-06-18,45.07,45.2,44.66,44.66,1298112
2025-06-19,44.84,44.98,44.39,44.62,1025994
2025-06-20,44.66,44.75,44.48,44.66,717034
2025-06-23,44.39,44.62,44.3,44.43,1050378
2025-06-24,44.66,44.8,44.52,44.8,710936
2025-06-25,44.52,45.56,44.52,45.38,1763863
2025-06-26,45.74,45.83,45.38,45.56,1285061
2025-06-27,45.65,45.92,45.38,45.65,3003369
2025-06-30,45.65,45.8,44.98,45.08,1926448
2025-07-01,45.08,45.08,44.6,44.65,906758
2025-07-02,44.6,44.6,44.21,44.5,1100593
2025-07-03,44.5,44.69,44.36,44.36,1536347
2025-07-04,44.69,44.69,44.41,44.5,849176
2025-07-07,44.6,44.74,44.41,44.5,1321381
2025-07-08,44.55,44.93,44.55,44.93,1640468
2025-07-09,45.08,45.8,44.98,45.7,2603822
2025-07-10,45.75,46.37,45.75,46.13,2152137
2025-07-11,46.13,46.28,45.56,46.18,2445826
2025-07-14,46.18,46.37,45.7,46.04,1273694
2025-07-15,46.04,46.9,45.99,46.08,2153705
2025-07-16,46.08,46.18,45.7,46.04,1367279
2025-07-17,46.08,46.71,45.89,46.42,2043467
2025-07-18,46.56,46.56,46.04,46.23,1339391
2025-07-21,46.08,46.37,45.75,45.75,1646225
2025-07-22,45.8,45.94,45.56,45.84,798822
2025-07-23,45.89,46.9,45.56,46.61,2662253
2025-07-24,46.95,47.96,46.71,47.0,2247810
2025-07-25,47.0,47.09,46.85,47.09,1336133
2025-07-28,47.33,47.48,46.9,47.28,2669575
2025-07-29,47.28,47.48,45.41,45.41,2639837
2025-07-30,45.46,45.84,45.41,45.65,2021422
2025-07-31,45.75,46.42,45.56,45.7,1915348
2025-08-01,45.75,46.08,45.75,45.99,1032904
2025-08-04,46.04,46.13,45.7,46.13,806022
2025-08-05,46.13,46.23,45.46,45.56,2104047
2025-08-06,45.65,46.18,45.41,45.84,982201
2025-08-07,46.04,46.04,45.61,45.75,861395
2025-08-08,45.75,46.18,45.65,45.89,931648
2025-08-11,46.04,46.56,46.04,46.23,1469077
2025-08-12,46.42,46.56,46.23,46.32,1259615
2025-08-13,46.47,46.47,45.89,45.99,1128295
2025-08-14,46.13,46.13,45.8,45.94,1145023
2025-08-15,45.99,45.99,45.46,45.56,1555041
2025-08-18,45.61,45.8,45.22,45.22,964848
2025-08-19,45.32,45.41,45.13,45.22,1047339
2025-08-20,45.22,45.22,44.65,44.84,1214753
2025-08-21,44.65,44.98,44.41,44.69,1407713
2025-08-22,44.6,44.69,43.83,43.93,1849343
2025-08-25,43.93,44.12,43.64,43.73,992338
2025-08-26,43.73,44.02,43.59,44.02,697277
2025-08-27,44.21,44.41,43.97,44.12,1210522
2025-08-28,44.12,44.74,44.12,44.65,545940
2025-08-29,44.89,44.98,44.65,44.65,789356
2025-09-03,44.69,44.69,44.36,44.45,559833
2025-09-04,44.6,45.27,44.45,45.17,1013814
2025-09-05,45.32,45.56,45.17,45.37,1243927
2025-09-08,45.56,45.61,44.84,44.89,871031
2025-09-09,44.84,44.89,44.31,44.41,859127
2025-09-10,44.6,44.69,44.26,44.36,507323
2025-09-11,44.5,44.6,43.83,44.5,706345
2025-09-12,44.41,45.46,44.41,44.74,1051676
2025-09-15,45.03,45.08,44.74,44.79,508363
2025-09-16,45.03,46.18,44.69,45.84,2746032
2025-09-17,45.84,46.18,45.37,45.37,984214
2025-09-18,45.51,45.61,44.79,44.89,1012383
2025-09-19,45.03,45.03,44.12,44.12,1386552
2025-09-22,44.21,44.55,43.64,43.83,1356281
2025-09-23,43.93,44.21,43.78,43.93,448364
2025-09-24,44.02,44.21,43.64,44.21,504371
2025-09-25,44.26,44.36,43.88,43.97,469511
2025-09-26,44.17,44.17,43.78,43.78,481447
2025-09-29,43.83,43.83,43.5,43.64,572552
2025-09-30,43.64,43.73,43.3,43.35,553703
2025-10-01,43.45,43.69,43.35,43.45,324448
2025-10-02,43.54,43.88,43.54,43.54,697181
2025-10-03,43.59,43.93,43.54,43.69,426230
2025-10-06,44.17,44.31,43.83,44.26,900631
2025-10-07,44.55,44.55,44.02,44.12,697575
2025-10-08,44.41,44.5,44.07,44.07,519128
2025-10-09,44.12,44.17,43.69,43.73,558452
2025-10-10,43.73,44.07,43.69,43.97,482467
2025-10-13,43.64,44.07,43.5,44.07,522856
2025-10-14,43.93,44.07,43.54,43.54,580306
2025-10-15,43.59,43.83,43.4,43.4,544913
2025-10-16,43.45,43.73,43.26,43.35,468609
2025-10-17,43.35,43.64,43.06,43.4,827155
2025-10-20,43.21,43.4,42.2,42.2,970293
2025-10-21,42.34,42.68,42.2,42.63,808590
2025-10-22,42.63,42.97,42.44,42.97,391268
2025-10-23,42.97,43.78,42.73,43.59,731324
2025-10-24,43.64,43.64,43.16,43.3,355142
2025-10-27,43.64,43.88,43.35,43.59,692231
2025-10-28,43.59,43.78,43.5,43.59,406347
2025-10-29,43.93,44.12,43.59,43.88,763609
2025-10-30,44.02,44.02,43.54,43.83,624354
2025-10-31,43.97,44.02,43.73,43.97,575743
2025-11-03,43.93,44.74,43.88,44.41,860864
2025-11-04,44.55,44.55,43.64,44.36,852899
2025-11-05,44.41,44.45,44.07,44.31,567079
2025-11-06,44.12,44.41,44.02,44.26,544276
2025-11-07,44.02,44.5,44.02,44.21,560942
2025-11-10,44.31,44.45,44.12,44.12,522466
2025-11-11,44.07,45.32,44.02,44.89,1273398
2025-11-12,44.89,45.17,44.69,45.03,754620
2025-11-13,45.17,45.61,44.93,45.46,1124211
2025-11-14,45.46,45.61,45.13,45.17,844615
2025-11-17,45.17,45.65,45.17,45.32,1035258
2025-11-18,45.37,45.56,44.89,45.27,624255
2025-11-19,45.27,45.27,44.98,45.08,665680
2025-11-20,45.46,45.56,45.03,45.13,777575
2025-11-21,45.03,45.03,44.6,44.79,542758
2025-11-24,44.79,45.08,44.26,44.26,865452
2025-11-25,44.31,44.89,44.21,44.41,435911
2025-11-26,44.5,44.89,44.5,44.6,375429
2025-11-27,44.84,44.84,44.45,44.5,301893
2025-11-28,44.5,44.74,44.41,44.5,382114
2025-12-01,44.65,47.57,44.65,47.0,4110688
2025-12-02,47.0,50.26,46.85,50.26,5653741
2025-12-03,51.79,52.18,49.78,49.78,3237799
2025-12-04,49.39,50.07,48.43,48.82,2808840
2025-12-05,48.82,49.2,47.76,47.76,2545894
2025-12-08,47.76,51.02,47.67,51.02,5257247
2025-12-09,52.27,53.04,51.12,51.12,4333912
2025-12-10,51.12,51.22,49.3,49.39,2435786
2025-12-11,49.59,50.83,49.39,50.16,1645628
2025-12-12,49.87,50.45,47.91,47.96,2536837
2025-12-15,48.24,49.39,47.96,48.43,1512039
2025-12-16,48.91,49.87,46.13,49.59,2085346
2025-12-17,49.68,49.68,48.05,48.05,1557109
2025-12-18,48.53,48.63,47.76,48.15,1044322
2025-12-19,48.15,48.15,47.57,47.67,1139995
2025-12-22,47.67,48.24,47.43,47.57,1000065
2025-12-23,47.67,47.86,46.9,47.48,1432258
2025-12-24,47.48,47.57,46.8,46.8,998692
2025-12-25,46.8,47.48,46.23,46.23,1147913
2025-12-26,46.13,47.19,46.13,46.76,1436057
2025-12-29,46.8,47.24,46.61,46.8,885071
2025-12-30,46.9,47.86,46.42,47.57,1281754
2025-12-31,47.57,47.57,47.0,47.0,581755
2026-01-05,47.14,47.19,46.08,46.13,1627486
2026-01-06,46.23,46.23,45.22,45.61,1946074
2026-01-07,45.65,46.85,45.65,46.52,2003098
2026-01-08,46.52,47.38,46.32,46.32,1602353
2026-01-09,46.9,47.86,46.61,46.95,2046272
2026-01-12,47.2,47.45,46.15,47.0,1687846
2026-01-13,47.05,50.2,47.05,50.2,3328455
2026-01-14,51.3,53.7,51.3,53.7,4561544
2026-01-15,55.0,57.1,52.7,52.7,6089903
2026-01-16,52.7,53.8,51.8,52.5,2858276
2026-01-19,52.5,52.7,50.2,51.1,2773536
2026-01-20,52.0,54.3,51.5,52.3,3639462
2026-01-21,52.0,52.0,50.2,50.6,2226464
2026-01-22,51.0,52.0,50.5,50.6,1399834
2026-01-23,50.7,51.3,48.9,49.3,2328200
2026-01-26,49.3,50.0,48.3,48.5,1694200
2026-01-27,48.95,49.55,48.25,49.55,1290400
2026-01-28,49.9,50.3,48.75,48.95,1151800
2026-01-29,49.1,50.6,49.0,50.3,1623900
2026-01-30,51.0,51.4,49.9,49.9,1724800
2026-02-02,49.9,50.9,49.2,49.9,1193500
2026-02-03,50.9,52.4,50.3,52.1,2564900
2026-02-04,52.4,53.3,51.6,51.7,1558600
2026-02-05,52.2,52.2,50.0,50.1,1682000
