date,open,high,low,close,volume
2024-12-03,14.34,14.38,14.21,14.21,6556486
2024-12-04,14.25,14.25,14.03,14.03,8017084
2024-12-05,14.07,14.6,13.98,14.6,11743617
2024-12-06,14.65,14.65,14.43,14.43,9731894
2024-12-09,14.52,14.65,14.43,14.56,8423940
2024-12-10,14.56,14.65,14.52,14.52,4982300
2024-12-11,14.56,14.65,14.38,14.47,6316729
2024-12-12,14.52,14.78,14.43,14.52,17363669
2024-12-13,14.52,14.6,14.43,14.43,4588100
2024-12-16,14.43,14.56,14.34,14.38,9852128
2024-12-17,14.38,14.47,14.34,14.38,4268647
2024-12-18,14.38,14.47,14.29,14.43,5408555
2024-12-19,14.25,14.34,14.16,14.21,10789820
2024-12-20,14.25,14.25,14.12,14.12,5575726
2024-12-23,14.34,14.38,14.21,14.25,6275589
2024-12-24,14.25,14.34,14.21,14.25,5951925
2024-12-25,14.29,14.96,14.25,14.56,14532759
2024-12-26,14.52,14.74,14.52,14.69,6868626
2024-12-27,14.74,15.14,14.69,14.87,27808453
2024-12-30,14.92,15.0,14.65,14.78,6737172
2024-12-31,14.78,14.92,14.65,14.78,7934334
2025-01-02,14.83,14.83,14.56,14.69,5153532
2025-01-03,14.65,14.69,14.38,14.38,9678572
2025-01-06,14.38,14.47,14.21,14.25,7774012
2025-01-07,14.29,14.43,14.25,14.29,5753862
2025-01-08,14.43,14.52,14.34,14.38,4609078
2025-01-09,14.47,14.47,14.25,14.29,4450634
2025-01-10,14.29,14.43,14.07,14.12,8371072
2025-01-13,14.03,14.25,13.94,14.12,6940107
2025-01-14,14.12,14.25,14.07,14.12,3549550
2025-01-15,14.21,14.29,14.12,14.21,5697114
2025-01-16,14.29,14.38,14.21,14.25,6279717
2025-01-17,14.25,14.38,14.21,14.34,4339780
2025-01-20,14.43,14.6,14.38,14.56,6760313
2025-01-21,14.65,14.65,14.38,14.38,5406455
2025-01-22,14.47,14.47,14.29,14.29,5144114
2025-01-23,14.43,14.56,14.29,14.52,6162898
2025-01-24,14.47,14.65,14.47,14.6,8385965
2025-02-03,14.56,14.56,14.29,14.34,8875858
2025-02-04,14.43,14.74,14.34,14.69,10940880
2025-02-05,14.74,14.83,14.6,14.74,8951702
2025-02-06,14.83,15.0,14.65,14.69,8820555
2025-02-07,14.78,14.92,14.6,14.69,10062941
2025-02-10,14.65,14.96,14.52,14.87,17706881
2025-02-11,14.87,15.27,14.87,15.09,42527437
2025-02-12,15.18,15.18,14.92,14.96,7643518
2025-02-13,14.96,15.05,14.87,15.0,7953561
2025-02-14,15.09,15.23,15.0,15.0,9822625
2025-02-17,15.0,15.09,14.92,14.96,8525542
2025-02-18,14.96,15.14,14.92,15.0,9231695
2025-02-19,15.05,15.09,14.96,15.09,8593181
2025-02-20,15.09,15.32,15.05,15.18,17115175
2025-02-21,15.23,15.23,15.0,15.09,10003413
2025-02-24,15.09,15.23,15.0,15.14,12874869
