date,open,high,low,close,volume
2024-12-03,62.69,62.69,61.49,61.76,2447450
2024-12-04,61.63,62.36,61.43,62.09,1205482
2024-12-05,61.76,62.82,61.76,62.42,2334456
2024-12-06,62.42,63.29,62.36,62.56,1702183
2024-12-09,62.56,63.29,62.36,63.29,1958838
2024-12-10,63.29,63.29,62.76,62.76,914482
2024-12-11,62.76,62.96,61.89,61.96,1611488
2024-12-12,62.09,62.69,62.09,62.09,672349
2024-12-13,61.89,62.16,61.69,61.83,1228466
2024-12-16,61.76,61.89,61.69,61.83,1122982
2024-12-17,61.76,61.83,61.63,61.76,1049241
2024-12-18,61.76,61.96,61.76,61.83,531269
2024-12-19,61.63,61.63,61.23,61.36,1870599
2024-12-20,61.36,61.69,61.29,61.43,1246769
2024-12-23,61.49,61.63,61.36,61.36,707967
2024-12-24,61.56,61.63,61.1,61.16,1025356
2024-12-25,61.23,62.29,61.23,61.36,1829185
2024-12-26,61.43,61.63,61.1,61.16,2203884
2024-12-27,61.43,61.76,61.23,61.23,1640901
2024-12-30,61.23,61.43,61.1,61.1,1707785
2024-12-31,61.23,61.36,60.56,60.56,2375289
2025-01-02,60.83,61.43,60.76,61.03,1631368
2025-01-03,61.03,61.36,61.03,61.1,1403040
2025-01-06,61.1,62.03,61.03,61.69,1938268
2025-01-07,61.89,61.89,61.29,61.29,1253566
2025-01-08,61.29,61.36,60.76,61.36,1054219
2025-01-09,61.1,61.23,60.9,61.03,739048
2025-01-10,61.03,61.36,60.7,60.7,1113334
2025-01-13,60.63,61.03,60.5,61.03,938736
2025-01-14,61.03,61.03,60.56,60.9,678628
2025-01-15,61.03,61.03,60.7,60.7,446062
2025-01-16,61.03,61.89,60.96,61.56,2461599
2025-01-17,61.56,61.76,61.23,61.43,1124326
2025-01-20,61.29,61.43,60.83,60.9,1763550
2025-01-21,61.16,61.16,60.63,60.7,1266355
2025-01-22,61.1,61.1,60.56,60.56,979719
2025-01-23,60.63,61.69,60.63,61.43,1686458
2025-01-24,61.16,61.76,61.16,61.49,945437
2025-02-03,61.29,61.36,60.83,60.83,1436966
2025-02-04,61.16,61.23,60.9,61.1,855942
2025-02-05,61.1,61.63,61.1,61.49,1346904
2025-02-06,61.63,62.03,61.56,61.69,1352924
2025-02-07,61.69,61.89,61.43,61.76,2262521
2025-02-10,61.69,61.69,61.03,61.23,2299299
2025-02-11,61.23,61.29,60.9,61.03,1040604
2025-02-12,61.03,61.43,60.76,60.76,1057688
2025-02-13,61.03,61.03,60.7,60.83,863094
2025-02-14,61.23,61.23,60.76,60.83,948437
