date,open,high,low,close,volume
2024-12-03,20.2,20.3,20.12,20.2,1875102
2024-12-04,20.2,20.2,19.9,20.0,2495623
2024-12-05,20.4,20.5,20.15,20.42,3372467
2024-12-06,20.42,21.15,20.38,20.92,5333439
2024-12-09,21.05,21.42,20.92,20.92,3348648
2024-12-10,20.92,20.95,20.6,20.6,2356318
2024-12-11,20.6,20.7,20.45,20.65,2171374
2024-12-12,20.65,20.68,20.45,20.45,2149810
2024-12-13,20.38,20.45,20.3,20.4,1953741
2024-12-16,20.4,20.45,20.3,20.35,1161340
2024-12-17,20.35,20.4,20.27,20.27,1332060
2024-12-18,20.27,20.42,20.27,20.3,852659
2024-12-19,20.15,20.2,20.05,20.15,2489852
2024-12-20,20.15,20.25,20.12,20.25,1571034
2024-12-23,20.25,20.42,20.25,20.3,1001922
2024-12-24,20.25,20.3,20.18,20.3,1335894
2024-12-25,20.3,20.52,20.27,20.32,1909813
2024-12-26,20.35,20.5,20.32,20.32,879287
2024-12-27,20.35,20.45,20.27,20.27,1499184
2024-12-30,20.18,20.3,20.15,20.27,1416801
2024-12-31,20.27,20.3,20.15,20.27,1786031
2025-01-02,20.25,20.27,20.15,20.27,1342352
2025-01-03,20.27,20.27,20.08,20.25,1731685
2025-01-06,20.2,20.25,20.15,20.25,1627059
2025-01-07,20.15,20.27,20.1,20.25,1967014
2025-01-08,20.2,20.27,20.15,20.25,927236
2025-01-09,20.27,20.5,20.25,20.38,1189358
2025-01-10,20.38,20.45,20.2,20.25,1106026
2025-01-13,19.85,20.18,19.85,20.15,1682762
2025-01-14,20.1,20.1,19.9,20.1,2327929
2025-01-15,20.15,20.18,20.0,20.12,875300
2025-01-16,20.15,20.32,20.05,20.23,2001576
2025-01-17,20.25,20.27,20.12,20.23,1174622
2025-01-20,20.15,20.23,20.12,20.2,647933
2025-01-21,20.27,20.27,20.15,20.23,1314921
2025-01-22,20.25,20.25,20.05,20.2,1136198
2025-01-23,20.2,20.32,20.12,20.2,1421586
2025-01-24,20.12,20.25,20.1,20.2,1389220
2025-02-03,20.1,20.15,19.95,20.02,1576949
2025-02-04,20.02,20.1,19.92,20.05,1441966
2025-02-05,20.1,20.23,20.02,20.02,1060865
2025-02-06,20.18,20.27,20.02,20.23,1315728
2025-02-07,20.25,20.35,20.12,20.32,1396794
2025-02-10,20.18,20.18,20.0,20.0,1535989
2025-02-11,20.0,20.05,19.92,19.98,1437497
2025-02-12,19.98,20.05,19.95,19.95,941811
2025-02-13,19.95,20.15,19.92,20.12,1054069
2025-02-14,20.25,20.25,20.1,20.12,997968
2025-02-17,20.12,20.2,20.02,20.05,854266
2025-02-18,20.05,20.23,19.95,20.1,1201387
2025-02-19,20.1,20.25,20.02,20.2,1576073
2025-02-20,20.23,20.62,20.2,20.48,2940145
2025-02-21,20.48,20.48,20.32,20.32,1334242
2025-02-24,20.18,20.32,20.18,20.3,1541441
2025-02-25,20.35,20.58,20.32,20.35,1794644
2025-02-26,20.5,20.55,20.4,20.5,1367140
2025-02-27,20.6,20.6,20.38,20.52,1442755
2025-02-28,20.52,20.8,20.35,20.6,2774026
2025-03-03,20.65,21.2,20.6,21.02,2861892
2025-03-04,21.22,21.25,20.9,20.98,3059982
2025-03-05,21.02,21.25,21.0,21.12,2910342
2025-03-06,21.15,21.28,21.02,21.18,2631008
2025-03-07,21.15,22.65,21.12,22.65,11513931
2025-03-10,22.95,23.95,22.9,23.65,9921135
