date,open,high,low,close,volume
2024-12-03,59.13,59.13,58.49,58.49,2427726
2024-12-04,58.4,58.49,57.94,57.94,2749303
2024-12-05,58.12,59.22,57.85,58.86,2221363
2024-12-06,59.04,59.31,58.67,58.67,1681167
2024-12-09,59.04,59.04,58.58,58.67,1764954
2024-12-10,58.67,58.95,58.49,58.49,1714418
2024-12-11,58.49,59.13,58.49,58.76,2027577
2024-12-12,58.76,59.41,58.76,59.13,2252448
2024-12-13,58.86,59.04,58.67,58.76,1399402
2024-12-16,58.76,59.68,58.76,59.5,2389158
2024-12-17,59.41,59.5,59.04,59.13,1206503
2024-12-18,59.5,59.59,59.22,59.22,1616812
2024-12-19,58.95,59.04,58.49,58.49,2629962
2024-12-20,58.58,59.5,58.58,59.5,3801451
2024-12-23,59.22,59.5,58.86,58.95,1350461
2024-12-24,58.95,59.22,58.67,58.86,1290269
2024-12-25,58.95,59.41,58.95,58.95,1304582
2024-12-26,59.23,59.23,58.86,58.86,1711855
2024-12-27,58.95,59.13,58.77,58.86,2445187
2024-12-30,58.67,58.77,58.4,58.4,1492983
2024-12-31,58.49,58.86,58.4,58.49,1643941
2025-01-02,58.67,58.86,58.21,58.21,1339894
2025-01-03,58.3,58.4,58.03,58.12,1779619
2025-01-06,58.12,58.3,57.66,57.66,2108984
2025-01-07,57.75,58.12,56.83,56.92,2811099
2025-01-08,57.2,57.29,56.46,56.92,2057556
2025-01-09,57.01,57.1,56.55,57.01,1504291
2025-01-10,56.92,57.1,56.55,56.55,1192540
2025-01-13,56.46,57.1,56.37,56.64,1104262
2025-01-14,56.64,57.01,56.55,56.83,1149837
2025-01-15,57.29,57.47,56.92,56.92,1219841
2025-01-16,57.47,57.75,56.92,57.1,1687939
2025-01-17,57.38,57.38,57.2,57.2,890720
2025-01-20,57.2,57.38,56.83,57.1,1638012
2025-01-21,57.2,57.29,56.83,57.01,1405722
2025-01-22,57.2,57.2,56.83,56.83,1762572
2025-01-23,56.83,57.47,56.83,57.2,1783676
2025-01-24,57.1,57.66,57.01,57.38,1578694
2025-02-03,57.38,57.38,55.81,55.81,7286722
2025-02-04,55.91,56.18,55.35,55.54,7132840
2025-02-05,55.72,56.74,55.72,56.74,3204519
2025-02-06,56.74,56.83,55.81,56.0,3033470
2025-02-07,56.0,56.46,55.91,56.09,2555237
2025-02-10,56.46,56.46,55.91,55.91,2597063
2025-02-11,55.91,56.0,55.44,55.72,3438061
2025-02-12,55.91,56.27,55.81,56.27,2759083
2025-02-13,56.27,56.27,55.72,56.0,2579334
2025-02-14,56.0,56.0,55.63,55.63,6406440
2025-02-17,55.72,55.91,55.35,55.35,3616591
2025-02-18,55.72,55.81,55.35,55.63,2442358
2025-02-19,55.63,56.18,55.63,56.09,3075728
2025-02-20,56.18,56.18,55.91,56.0,2632849
2025-02-21,56.09,57.29,55.91,56.64,4723060
2025-02-24,56.83,58.95,56.83,58.86,11520294
2025-02-25,59.04,59.04,57.75,58.03,3891802
2025-02-26,58.12,58.49,58.03,58.21,3639672
2025-02-27,58.3,58.3,57.38,57.38,3525626
2025-02-28,57.47,58.3,57.38,57.38,4180628
2025-03-03,57.94,58.3,57.47,58.3,3614305
2025-03-04,58.3,58.86,58.03,58.58,6046776
2025-03-05,58.67,58.67,57.84,57.84,2281264
2025-03-06,57.84,58.03,57.38,58.03,3129517
2025-03-07,58.03,58.12,57.57,57.84,2659929
2025-03-10,58.12,58.12,57.66,57.66,2533190
2025-03-11,57.47,57.66,57.29,57.57,2290854
2025-03-12,57.66,57.94,57.38,57.38,2761535
2025-03-13,57.47,58.03,57.1,57.2,5106563
2025-03-14,57.57,57.84,57.29,57.29,2700423
2025-03-17,57.57,58.49,57.57,58.12,4066437
2025-03-18,58.21,58.21,57.66,57.66,3285983
2025-03-19,57.84,57.94,57.1,57.47,3042976
2025-03-20,57.38,57.38,56.55,57.01,3895453
2025-03-21,57.01,57.01,56.46,56.55,3331858
2025-03-24,56.64,57.2,56.37,56.64,2493893
2025-03-25,56.92,56.92,56.46,56.64,2327043
2025-03-26,56.74,57.1,56.46,56.46,1849811
2025-03-27,56.46,56.74,56.37,56.37,2233560
2025-03-28,56.27,56.37,55.54,55.63,5443940
2025-03-31,56.09,56.83,55.91,55.91,5308209
2025-04-01,56.46,56.46,55.63,56.09,3137933
2025-04-02,56.0,56.64,55.81,55.81,4687947
2025-04-03,54.89,54.98,51.94,52.12,16961756
2025-04-04,49.82,54.24,49.63,53.97,9790843
2025-04-08,52.31,52.49,50.28,50.28,13341671
2025-04-09,47.42,50.92,47.42,47.97,9895364
2025-04-10,51.29,51.29,51.29,51.29,1515755
2025-04-11,51.29,53.88,51.29,53.05,9178387
2025-04-14,53.41,53.41,52.12,52.49,5487359
2025-04-15,52.31,53.05,51.94,51.94,4173838
2025-04-16,52.03,52.77,51.66,51.66,3741175
2025-04-17,51.2,52.22,50.55,51.66,7226501
2025-04-18,52.31,52.86,52.22,52.22,3042348
2025-04-21,52.4,52.68,52.12,52.31,3024998
2025-04-22,52.22,52.22,49.72,51.66,6966814
2025-04-23,52.4,52.86,52.03,52.03,3589382
2025-04-24,52.12,52.4,51.85,51.94,1959766
2025-04-25,52.12,53.78,52.12,53.78,8125834
2025-04-28,53.78,53.78,53.05,53.05,2670118
2025-04-29,53.05,53.41,52.77,53.14,2560129
2025-05-05,53.05,53.14,52.49,52.49,4242785
2025-05-06,52.58,52.95,52.49,52.49,2505912
2025-05-07,52.49,53.23,52.49,52.77,2910910
2025-05-08,52.77,53.32,52.77,52.95,3266128
2025-05-09,53.23,54.06,53.23,53.23,3839463
2025-05-12,53.51,54.15,53.51,54.06,5868031
2025-05-13,54.34,54.43,53.78,53.97,4359100
2025-05-14,54.45,54.45,53.59,53.68,5045042
2025-05-15,53.68,54.45,53.68,54.26,4097846
2025-05-16,54.26,54.26,53.68,53.68,3204963
2025-05-19,53.68,54.45,53.49,53.49,2803390
2025-05-20,53.59,53.78,53.3,53.4,3228264
2025-05-21,53.49,53.49,52.92,52.92,4473493
2025-05-22,52.92,53.11,52.54,52.54,2674376
2025-05-23,52.73,53.01,52.63,52.82,1671303
2025-05-26,52.92,53.3,52.54,53.2,2735753
2025-05-27,53.4,53.49,52.82,52.92,3691308
2025-05-28,53.2,53.2,52.63,52.73,3908641
2025-05-29,53.01,53.01,52.63,52.63,2185775
2025-05-30,52.92,52.92,52.34,52.44,3289850
2025-06-02,52.44,52.73,52.06,52.15,2650910
2025-06-03,52.25,53.49,52.25,53.01,4318030
2025-06-04,53.3,55.21,53.01,54.35,8429633
2025-06-05,54.45,54.54,53.78,53.78,2800586
2025-06-06,53.87,53.87,52.63,52.82,4131010
2025-06-09,52.92,53.78,52.82,52.82,3041347
